tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39099.1	transketolase, thiamine pyrophosphate-binding domain protein [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	Firmicutes_sqwG	Firmicutes_sqwG	EJF39099.1		PF00456	COG3959	K00615	EJF39099.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Transketolase_N	COG3959	E2.2.1.1
Q58094.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative transketolase N-terminal section; Short=TK	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup			Q58094.1		PF00456	COG3959	K00615	Q58094.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Transketolase_N	COG3959	E2.2.1.1
P55574.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative uncharacterized transketolase family protein y4mO	Sinorhizobium fredii NGR234	Reviewed_Outgroup			P55574.1		PF00456	COG3959	K00615	P55574.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Transketolase_N	COG3959	E2.2.1.1
Q9KAD7.1	RecName: Full=Transketolase; Short=TK	Halalkalibacterium halodurans C-125	Reviewed_Outgroup	outgroup	outgroup	Q9KAD7.1		PF00456;PF02779;PF02780	COG0021	K00615	Q9KAD7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halalkalibacterium (ex Joshi et al. 2022); s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
P40142.1	RecName: Full=Transketolase; Short=TK; AltName: Full=P68	Mus musculus	Reviewed_Outgroup			P40142.1		PF00456;PF02779;PF02780	COG0021	K00615	P40142.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
P56900.2	RecName: Full=Transketolase; Short=TK	Sinorhizobium medicae WSM419	Reviewed_Outgroup	outgroup	outgroup	P56900.2		PF00456;PF02779;PF02780	COG0021	K00615	P56900.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
P27302.5	RecName: Full=Transketolase 1; Short=TK 1	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P27302.5		PF00456;PF02779;PF02780	COG0021	K00615	P27302.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
O83571.1	RecName: Full=Transketolase; Short=TK	Treponema pallidum subsp. pallidum str. Nichols	Reviewed_Outgroup	outgroup	outgroup	O83571.1		PF00456;PF02779	COG0021	K00615	O83571.1	d__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__		Transketolase_N;Transket_pyr	COG0021	E2.2.1.1
Q2NKZ4.1	RecName: Full=Transketolase-like protein 2	Bos taurus	Reviewed_Outgroup			Q2NKZ4.1		PF00456;PF02779;PF02780	COG0021	K00615	Q2NKZ4.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
Q89AY2.1	RecName: Full=Transketolase; Short=TK	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Reviewed_Outgroup	outgroup	outgroup	Q89AY2.1		PF00456;PF02779;PF02780	COG0021	K00615	Q89AY2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
