tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q9LA16	Sulfite:cytochrome c oxidoreductase subunit A	Starkeya novella	Reviewed_Ingroup	sorA1	sorA1	Q9LA16		PF00174;PF03404	COG2041	K05301	Q9LA16	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
Q0K2X2	Sulfite oxidase (EC 1.8.3.1)	Cupriavidus necator H16	Reviewed_Ingroup	sorA1	sorA1	Q0K2X2		PF00174;PF03404	COG2041	K05301	Q0K2X2	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
Q0PCC0	Molydopterin containing oxidoreductase	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Reviewed_Ingroup	sorA2	sorA2	Q0PCC0		PF00174;PF03404	COG2041		Q0PCC0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
ABX32702.1	oxidoreductase molybdopterin binding [Delftia acidovorans SPH-1]	Delftia acidovorans SPH-1	Reviewed_Ingroup	sorA3	sorA3	ABX32702.1		PF00174;PF03404	COG2041		ABX32702.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
Q8R086.2	RecName: Full=Sulfite oxidase, mitochondrial; Flags: Precursor	Mus musculus	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	Q8R086.2		PF00173;PF00174;PF03404	COG2041	K00387	Q8R086.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
Q60HD0.3	RecName: Full=Sulfite oxidase, mitochondrial; Flags: Precursor	Macaca fascicularis	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	Q60HD0.3		PF00173;PF00174;PF03404	COG2041	K00387	Q60HD0.3	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cercopithecidae; g__Macaca; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
Q07116.2	RecName: Full=Sulfite oxidase, mitochondrial; Flags: Precursor	Rattus norvegicus	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	Q07116.2		PF00173;PF00174;PF03404	COG2041	K00387	Q07116.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Rattus; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
P51687.2	RecName: Full=Sulfite oxidase, mitochondrial; Flags: Precursor	Homo sapiens	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	P51687.2		PF00173;PF00174;PF03404	COG2041	K00387	P51687.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
P07850.3	RecName: Full=Sulfite oxidase	Gallus gallus	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	P07850.3		PF00173;PF00174;PF03404	COG2041	K00387	P07850.3	d__Eukaryota; p__Chordata; c__Aves; o__Galliformes; f__Phasianidae; g__Gallus; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
Q9VWP4.1	RecName: Full=Sulfite oxidase, mitochondrial; AltName: Full=Protein shopper; Flags: Precursor	Drosophila melanogaster	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	Q9VWP4.1		PF00173;PF00174;PF03404	COG2041	K00387	Q9VWP4.1	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
A0A286R227.1	RecName: Full=Nitrate reductase [NADH]; Short=NR	Ulva prolifera	Reviewed_Outgroup	Plant_NIR	Plant_NIR	A0A286R227.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	A0A286R227.1	d__Eukaryota; p__Chlorophyta; c__Ulvophyceae; o__Ulvales; f__Ulvaceae; g__Ulva; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
Q05531.2	RecName: Full=Nitrate reductase [NADPH]; Short=NR	Ustilago maydis 521	Reviewed_Outgroup	Plant_NIR	Plant_NIR	Q05531.2		PF00174;PF03404;PF00173;PF00970;PF00175	COG2041	K10534;K00326	Q05531.2	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Ustilago; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG2041	NR;CYB5R
Q9S850.1	RecName: Full=Sulfite oxidase; AltName: Full=Moco-containing protein AtMCP; Short=At-SO; Short=AtSOX	Arabidopsis thaliana	Reviewed_Outgroup	Vertebrate_SO	Vertebrate_SO	Q9S850.1		PF00174;PF03404	COG2041	K00387	Q9S850.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
