tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39098.1	sulfite exporter TauE/SafE [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	sqwE	sqwE	EJF39098.1		PF01925	COG0730	K07090	EJF39098.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		TauE	COG0730	K07090
WP_173871717.1	sulfite exporter TauE/SafE family protein [[Clostridium] symbiosum]	[Clostridium] symbiosum	Reviewed_Outgroup	sftE2	sftE2	WP_173871717.1		PF01925	COG0730	K07090	WP_173871717.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__		TauE	COG0730	K07090
ACR76322.1	protein of unknown function DUF81 [[Eubacterium] rectale ATCC 33656]	[Eubacterium] rectale ATCC 33656	Reviewed_Outgroup	sftE2	sftE2	ACR76322.1		PF01925	COG0730	K07090	ACR76322.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__		TauE	COG0730	K07090
aca___ACP_2645	putative membrane protein	Acidobacterium capsulatum ATCC 51196	Curated_Outgroup			aca___ACP_2645		PF01925	COG0730	K07090	aca___ACP_2645	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium; s__		TauE	COG0730	K07090
acae___HYG86_07685	sulfite exporter TauE/SafE family protein	Alkalicella caledoniensis	Curated_Outgroup			acae___HYG86_07685		PF01925	COG0730	K07090	acae___HYG86_07685	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Proteinivoraceae; g__Alkalicella; s__		TauE	COG0730	K07090
achr___C2U31_02385	sulfite exporter TauE/SafE family protein	Achromobacter sp. AONIH1	Curated_Outgroup			achr___C2U31_02385		PF01925	COG0730	K07090	achr___C2U31_02385	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__		TauE	COG0730	K07090
acii___C4901_05750	hypothetical protein	Acidiferrobacter sp. SPIII_3	Curated_Outgroup			acii___C4901_05750		PF01925	COG0730	K07090	acii___C4901_05750	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		TauE	COG0730	K07090
acom___CEW83_15585	hypothetical protein	Azoarcus communis	Curated_Outgroup			acom___CEW83_15585		PF01925	COG0730	K07090	acom___CEW83_15585	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Zoogloeaceae; g__Azoarcus; s__		TauE	COG0730	K07090
acu___Atc_0969	putative membrane protein	Acidithiobacillus caldus SM-1	Curated_Outgroup			acu___Atc_0969		PF01925	COG0730	K07090	acu___Atc_0969	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		TauE	COG0730	K07090
afi___Acife_2397	protein of unknown function DUF81	Acidithiobacillus ferrivorans SS3	Curated_Outgroup			afi___Acife_2397		PF01925	COG0730	K07090	afi___Acife_2397	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		TauE	COG0730	K07090
afri___E3E15_04490	sulfite exporter TauE/SafE family protein	Allofrancisella frigidaquae	Curated_Outgroup			afri___E3E15_04490		PF01925	COG0730	K07090	afri___E3E15_04490	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Allofrancisella; s__		TauE	COG0730	K07090
agi___FSB73_17930	sulfite exporter TauE/SafE family protein	Arachidicoccus ginsenosidivorans	Curated_Outgroup			agi___FSB73_17930		PF01925	COG0730	K07090	agi___FSB73_17930	d__Bacteria; p__Bacteroidetes; c__Chitinophagia; o__Chitinophagales; f__Chitinophagaceae; g__Arachidicoccus; s__		TauE	COG0730	K07090
agv___OJF2_25000	Sulfite exporter TauE/SafE	Aquisphaera giovannonii	Curated_Outgroup			agv___OJF2_25000		PF01925	COG0730	K07090	agv___OJF2_25000	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera; s__		TauE	COG0730	K07090
aii___E4K63_04305	sulfite exporter TauE/SafE family protein	Allofrancisella inopinata	Curated_Outgroup			aii___E4K63_04305		PF01925	COG0730	K07090	aii___E4K63_04305	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Allofrancisella; s__		TauE	COG0730	K07090
ais___BUW96_20470	hypothetical protein	Achromobacter insolitus	Curated_Outgroup			ais___BUW96_20470		PF01925	COG0730	K07090	ais___BUW96_20470	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__		TauE	COG0730	K07090
amag___I533_08745	hypothetical protein	Alteromonas mediterranea MED64	Curated_Outgroup			amag___I533_08745		PF01925	COG0730	K07090	amag___I533_08745	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__		TauE	COG0730	K07090
amk___AMBLS11_08215	hypothetical protein	Alteromonas macleodii str. 'Black Sea 11'	Curated_Outgroup			amk___AMBLS11_08215		PF01925	COG0730	K07090	amk___AMBLS11_08215	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__		TauE	COG0730	K07090
amt___Amet_1578	protein of unknown function DUF81	Alkaliphilus metalliredigens QYMF	Curated_Outgroup			amt___Amet_1578		PF01925	COG0730	K07090	amt___Amet_1578	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Alkaliphilus; s__		TauE	COG0730	K07090
anr___Ana3638_17045	TSUP family transporter	Anaerocolumna sedimenticola	Curated_Outgroup			anr___Ana3638_17045		PF01925	COG0730	K07090	anr___Ana3638_17045	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		TauE	COG0730	K07090
aoa___dqs_3785	hypothetical protein	Azoarcus olearius	Curated_Outgroup	outgroup	outgroup	aoa___dqs_3785		PF01925	COG0730	K07090	aoa___dqs_3785	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Zoogloeaceae; g__Azoarcus; s__		TauE	COG0730	K07090
