tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
O58308.1	RecName: Full=NAD(P)H coenzyme A polysulfide/persulfide reductase; AltName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR; AltName: Full=Polysulfide reductase	Pyrococcus horikoshii OT3	Reviewed_Ingroup	nsr	nsr	O58308.1		PF07992;PF02852	COG0446	K18367	O58308.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q5JGP4.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR; AltName: Full=NAD(P)H oxidase (H2O-forming); Short=NOX	Thermococcus kodakarensis KOD1	Reviewed_Ingroup	nsr	nsr	Q5JGP4.1		PF07992;PF02852	COG0446	K18367	Q5JGP4.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q8U1M0.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR; AltName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR; AltName: Full=NAD(P)H oxidase; Short=NOX	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	nsr	nsr	Q8U1M0.1		PF07992;PF02852	COG0446	K18367	Q8U1M0.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q9UYU5.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR	Pyrococcus abyssi GE5	Reviewed_Ingroup	nsr	nsr	Q9UYU5.1		PF07992;PF02852	COG0446	K18367	Q9UYU5.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
A5IRE8.1	RecName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR	Staphylococcus aureus subsp. aureus JH9	Reviewed_Outgroup	CoADR	CoADR	A5IRE8.1		PF07992;PF02852	COG0446	K08255	A5IRE8.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	cdr
P37061.1	RecName: Full=NADH oxidase; Short=NOXase	Enterococcus faecalis V583	Reviewed_Outgroup	outgroup	outgroup	P37061.1		PF07992;PF02852	COG0446	K05910	P37061.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	npr
P37062.2	RecName: Full=NADH peroxidase; Short=NPXase; Short=Npx	Enterococcus faecalis V583	Reviewed_Outgroup	outgroup	outgroup	P37062.2		PF07992;PF02852	COG0446	K05910	P37062.2	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	npr
Q5XC60.1	RecName: Full=Probable NADH oxidase; Short=NOXase	Streptococcus pyogenes MGAS10394	Reviewed_Outgroup	outgroup	outgroup	Q5XC60.1		PF07992;PF02852	COG0446		Q5XC60.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
A2RIB7.1	RecName: Full=NADH oxidase; Short=NOXase	Lactococcus cremoris subsp. cremoris MG1363	Reviewed_Outgroup	outgroup	outgroup	A2RIB7.1		PF07992;PF02852	COG0446		A2RIB7.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
P75389.1	RecName: Full=Probable NADH oxidase; Short=NOXase	Mycoplasmoides pneumoniae M129	Reviewed_Outgroup	outgroup	outgroup	P75389.1		PF07992;PF02852	COG0446		P75389.1	d__Bacteria; p__Mycoplasmatota; c__; o__Mycoplasmoidales; f__Metamycoplasmataceae; g__Mycoplasmoides; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
Q58065.2	RecName: Full=Putative NADH oxidase; Short=NOXase	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup			Q58065.2		PF07992;PF02852	COG0446	K17870	Q58065.2	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	nox1
Q2YWW1.1	RecName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR	Staphylococcus aureus RF122	Reviewed_Outgroup	CoADR	CoADR	Q2YWW1.1		PF07992;PF02852	COG0446	K08255	Q2YWW1.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	cdr
Q5JFZ8	NADH oxidase	Thermococcus kodakarensis KOD1	Reviewed_Outgroup			Q5JFZ8		PF07992;PF02852	COG0446	K17870	Q5JFZ8	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	nox1
WP_010877907.1	FAD-dependent oxidoreductase [Archaeoglobus fulgidus]	Archaeoglobus fulgidus	Reviewed_Outgroup	outgroup	outgroup	WP_010877907.1		PF07992;PF02852;PF00581	COG0446	K18367;K17870	WP_010877907.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	CoADR;nox1
WP_011864535.1	FAD-dependent oxidoreductase [Shewanella loihica]	Shewanella loihica	Reviewed_Outgroup	npsr	npsr	WP_011864535.1		PF07992;PF02852;PF00581	COG0446		WP_011864535.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
EAN75345.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase:Rhodanese-like:Pyridine nucleotide-disulphide oxidoreductase dimerisation region [Shewanella frigidimarina NCIMB 400]	Shewanella frigidimarina NCIMB 400	Reviewed_Outgroup	npsr	npsr	EAN75345.1		PF07992;PF02852;PF00581	COG0446		EAN75345.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
NP_843296.1	CoA-disulfide reductase [Bacillus anthracis str. Ames]	Bacillus anthracis str. Ames	Reviewed_Outgroup	npsr	npsr	NP_843296.1		PF07992;PF02852;PF00581	COG0446	K08255	NP_843296.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	cdr
thv___ADU37_CDS01970	Coenzyme A-dependent NAD(P)H sulfur oxidoreductase	Thermococcus sp. 2319x1	Curated_Ingroup	nsr	nsr	thv___ADU37_CDS01970		PF07992;PF02852	COG0446	K18367	thv___ADU37_CDS01970	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
afu___AF_0395	NADH oxidase (noxA-2)	Archaeoglobus fulgidus DSM 4304	Curated_Ingroup	nsr	nsr	afu___AF_0395		PF07992;PF02852	COG0446	K18367	afu___AF_0395	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
fpl___Ferp_1513	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ferroglobus placidus DSM 10642	Curated_Ingroup	nsr	nsr	fpl___Ferp_1513		PF07992;PF02852	COG0446	K18367	fpl___Ferp_1513	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Ferroglobus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
ast___Asulf_00763	NADPH:sulfur oxidoreductase	Archaeoglobus sulfaticallidus PM70-1	Curated_Ingroup	nsr	nsr	ast___Asulf_00763		PF07992;PF02852	COG0446	K18367	ast___Asulf_00763	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
ave___Arcve_0623	CoA-disulfide reductase	Archaeoglobus veneficus SNP6	Curated_Ingroup	nsr	nsr	ave___Arcve_0623		PF07992;PF02852	COG0446	K18367	ave___Arcve_0623	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
