tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q9Z4S6.1	RecName: Full=Tetrathionate reductase subunit A; AltName: Full=Tetrathionate reductase molybdenum subunit; Flags: Precursor	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	ttrA	ttrA	Q9Z4S6.1		PF00384;PF01568;PF04879	COG0243	K08357	Q9Z4S6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Molybdopterin;Molydop_binding;Molybdop_Fe4S4	COG0243	ttrA
P18775	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	Escherichia coli K-12	Reviewed_Outgroup	bacterial_dmsA	bacterial_dmsA	P18775		PF04879;PF00384;PF01568	COG0243	K07306	P18775	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
P45004	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	Haemophilus influenzae Rd KW20	Reviewed_Outgroup	bacterial_dmsA	bacterial_dmsA	P45004		PF04879;PF00384;PF01568	COG0243	K07306	P45004	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
P77374	Putative dimethyl sulfoxide reductase chain YnfE (DMSO reductase) (EC 1.8.99.-)	Escherichia coli K-12	Reviewed_Outgroup	bacterial_dmsA	bacterial_dmsA	P77374		PF04879;PF00384;PF01568	COG0243	K07309;K07306	P77374	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	ynfE;dmsA
P77783	Probable dimethyl sulfoxide reductase chain YnfF (DMSO reductase) (EC 1.8.99.-)	Escherichia coli K-12	Reviewed_Outgroup	bacterial_dmsA	bacterial_dmsA	P77783		PF04879;PF00384;PF01568	COG0243	K07310;K07306	P77783	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	ynfF;dmsA
P44798	Trimethylamine-N-oxide reductase (TMAO reductase) (Trimethylamine oxidase) (EC 1.7.2.3)	Haemophilus influenzae Rd KW20	Reviewed_Outgroup			P44798		PF00384;PF01568	COG0243	K07812	P44798	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__		Molybdopterin;Molydop_binding	COG0243	torZ
Q57366	Dimethyl sulfoxide/trimethylamine N-oxide reductase (DMSO reductase) (DMSOR) (Me2SO reductase) (TMAOR) (EC 1.7.2.3) (EC 1.8.5.3)	Cereibacter sphaeroides	Reviewed_Outgroup	DMSOR	DMSOR	Q57366		PF00384;PF01568	COG0243	K07812	Q57366	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		Molybdopterin;Molydop_binding	COG0243	torZ
Q8Z2M4	Trimethylamine-N-oxide reductase (TMAO reductase) (Trimethylamine oxidase) (EC 1.7.2.3)	Salmonella enterica subsp. enterica serovar Typhi	Reviewed_Outgroup			Q8Z2M4		PF00384;PF01568	COG0243	K07811	Q8Z2M4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Molybdopterin;Molydop_binding	COG0243	torA
P20099	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)	Escherichia coli K-12	Reviewed_Outgroup			P20099		PF00384;PF01568	COG0243	K08351	P20099	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdopterin;Molydop_binding	COG0243	bisC
Q52675	Dimethyl sulfoxide/trimethylamine N-oxide reductase (DMSO reductase) (DMSOR) (Me2SO reductase) (TMAOR) (EC 1.7.2.3) (EC 1.8.5.3)	Rhodobacter capsulatus	Reviewed_Outgroup	DMSOR	DMSOR	Q52675		PF00384;PF01568	COG0243	K07812	Q52675	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__		Molybdopterin;Molydop_binding	COG0243	torZ
P33225	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)	Escherichia coli K-12	Reviewed_Outgroup			P33225		PF00384;PF01568	COG0243	K07811	P33225	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdopterin;Molydop_binding	COG0243	torA
