tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P18775.2	RecName: Full=Dimethyl sulfoxide reductase DmsA; Short=DMSO reductase; Short=DMSOR; Short=Me2SO reductase; Flags: Precursor	Escherichia coli K-12	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	P18775.2		PF04879;PF00384;PF01568	COG0243	K07306	P18775.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
P45004.1	RecName: Full=Dimethyl sulfoxide reductase DmsA; Short=DMSO reductase; Short=DMSOR; Short=Me2SO reductase; Flags: Precursor	Haemophilus influenzae Rd KW20	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	P45004.1		PF04879;PF00384;PF01568	COG0243	K07306	P45004.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
P77374.1	RecName: Full=Putative dimethyl sulfoxide reductase chain YnfE; Short=DMSO reductase; Flags: Precursor	Escherichia coli K-12	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	P77374.1		PF04879;PF00384;PF01568	COG0243	K07309;K07306	P77374.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	ynfE;dmsA
P77783.4	RecName: Full=Probable dimethyl sulfoxide reductase chain YnfF; Short=DMSO reductase; Flags: Precursor	Escherichia coli K-12	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	P77783.4		PF04879;PF00384;PF01568	COG0243	K07310;K07306	P77783.4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	ynfF;dmsA
Q57366.1	RecName: Full=Dimethyl sulfoxide/trimethylamine N-oxide reductase; Short=DMSO reductase; Short=DMSOR; Short=Me2SO reductase; Short=TMAOR; Flags: Precursor	Cereibacter sphaeroides	Reviewed_Ingroup	DMSOR	DMSOR	Q57366.1		PF00384;PF01568	COG0243	K07812	Q57366.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		Molybdopterin;Molydop_binding	COG0243	torZ
Q52675.2	RecName: Full=Dimethyl sulfoxide/trimethylamine N-oxide reductase; Short=DMSO reductase; Short=DMSOR; Short=Me2SO reductase; Short=TMAOR; Flags: Precursor	Rhodobacter capsulatus	Reviewed_Ingroup	DMSOR	DMSOR	Q52675.2		PF00384;PF01568	COG0243	K07812	Q52675.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__		Molybdopterin;Molydop_binding	COG0243	torZ
Q9HR74.1	RecName: Full=Putative dimethyl sulfoxide reductase catalytic subunit A; Short=DMSO reductase subunit A; Flags: Precursor	Halobacterium salinarum NRC-1	Reviewed_Ingroup	archaeal_dmsA	archaeal_dmsA	Q9HR74.1		PF04879;PF00384;PF01568	COG0243		Q9HR74.1	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	
WP_011848632.1	molybdopterin-dependent oxidoreductase [Actinobacillus pleuropneumoniae]	Actinobacillus pleuropneumoniae	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	WP_011848632.1		PF04879;PF00384;PF01568	COG0243	K07306	WP_011848632.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
WP_020910920.1	molybdopterin-dependent oxidoreductase [Shewanella piezotolerans]	Shewanella piezotolerans	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	WP_020910920.1		PF04879;PF00384;PF01568	COG0243	K07306	WP_020910920.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
WP_020913504.1	molybdopterin-dependent oxidoreductase [Shewanella piezotolerans]	Shewanella piezotolerans	Reviewed_Ingroup	bacterial_dmsA	bacterial_dmsA	WP_020913504.1		PF04879;PF00384;PF01568	COG0243	K07306	WP_020913504.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Molybdop_Fe4S4;Molybdopterin;Molydop_binding	COG0243	dmsA
