tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P26475.2	RecName: Full=Anaerobic sulfite reductase subunit B	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	asrB	asrB	P26475.2		PF00175;PF10418	COG0543	K16951	P26475.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	asrB
A0RHQ7.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Bacillus thuringiensis str. Al Hakam	Reviewed_Outgroup	outgroup	outgroup	A0RHQ7.1		PF00970;PF00175;PF10418	COG0543	K02823	A0RHQ7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
A7Z4H3.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Bacillus velezensis FZB42	Reviewed_Outgroup	outgroup	outgroup	A7Z4H3.1		PF00175;PF10418	COG0543	K02823	A7Z4H3.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
B1HQC2.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Lysinibacillus sphaericus C3-41	Reviewed_Outgroup	outgroup	outgroup	B1HQC2.1		PF00970;PF00175;PF10418	COG0543	K02823	B1HQC2.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Lysinibacillus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
E7FHW8.1	RecName: Full=Sulfhydrogenase 2 subunit gamma; AltName: Full=Hydrogenase-II subunit gamma; Short=H-II gamma; AltName: Full=Sulfhydrogenase II subunit gamma; AltName: Full=Sulfur reductase subunit ShyC	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup			E7FHW8.1		PF00970;PF00175;PF10418	COG0543	K17995	E7FHW8.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	hydG
F2MMP0.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Enterococcus faecalis OG1RF	Reviewed_Outgroup	outgroup	outgroup	F2MMP0.1		PF00970;PF00175;PF10418	COG0543	K02823	F2MMP0.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
O27280.1	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27280.1		PF00175;PF10418	COG0543	K02823	O27280.1	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
O29722.1	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Archaeoglobus fulgidus DSM 4304	Reviewed_Outgroup	outgroup	outgroup	O29722.1		PF00175;PF10418	COG0543		O29722.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	
O57738.2	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Pyrococcus horikoshii OT3	Reviewed_Outgroup	outgroup	outgroup	O57738.2		PF10418	COG0543		O57738.2	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		DHODB_Fe-S_bind	COG0543	
P46536.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	[Bacillus] caldolyticus	Reviewed_Outgroup	outgroup	outgroup	P46536.1		PF00970;PF00175;PF10418	COG0543	K02823	P46536.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
P58884.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Reviewed_Outgroup	outgroup	outgroup	P58884.1		PF00970;PF00175;PF10418	COG0543	K02823	P58884.1	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
P58886.1	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Methanosarcina acetivorans C2A	Reviewed_Outgroup	outgroup	outgroup	P58886.1		PF00175;PF10418	COG0543		P58886.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	
P58887.1	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	P58887.1		PF00175;PF10418	COG0543	K02823	P58887.1	d__Archaea; p__Euryarchaeota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
P58888.1	RecName: Full=Probable dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup	outgroup	outgroup	P58888.1		PF00175;PF10418	COG0543		P58888.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	
