tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_045472717.1	TusE/DsrC/DsvC family sulfur relay protein [Thioploca ingrica]	Thioploca ingrica	Reviewed_Ingroup	dsrC	dsrC	WP_045472717.1		PF04358	COG2920	K23077;K11179	WP_045472717.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thioploca; s__		DsrC	COG2920	dsrC;tusE
WP_012970469.1	TusE/DsrC/DsvC family sulfur relay protein [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	dsrC	dsrC	WP_012970469.1		PF04358	COG2920	K11179;K23077	WP_012970469.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DsrC	COG2920	tusE;dsrC
P45573.2	RecName: Full=Sulfite reductase, dissimilatory-type subunit gamma; AltName: Full=Desulfoviridin subunit gamma; AltName: Full=Hydrogensulfite reductase subunit gamma	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Ingroup	dsrC	dsrC	P45573.2		PF04358	COG2920	K23077	P45573.2	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		DsrC	COG2920	dsrC
RFA96918.1	siroheme-sulfite reductase subunit gamma [Pyrobaculum aerophilum]	Pyrobaculum aerophilum	Reviewed_Ingroup	dsrC	dsrC	RFA96918.1		PF04358	COG2920	K23077	RFA96918.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__		DsrC	COG2920	dsrC
P45184.1	RecName: Full=Sulfurtransferase TusE homolog	Haemophilus influenzae Rd KW20	Reviewed_Outgroup	outgroup	outgroup	P45184.1		PF04358	COG2920	K11179	P45184.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__		DsrC	COG2920	tusE
Q7N5Z1.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Photorhabdus laumondii subsp. laumondii TTO1	Reviewed_Outgroup	outgroup	outgroup	Q7N5Z1.1		PF04358	COG2920	K11179	Q7N5Z1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Photorhabdus; s__		DsrC	COG2920	tusE
Q7CQS8.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	outgroup	outgroup	Q7CQS8.1		PF04358	COG2920	K11179	Q7CQS8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		DsrC	COG2920	tusE
Q2NU63.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Sodalis glossinidius str. 'morsitans'	Reviewed_Outgroup	outgroup	outgroup	Q2NU63.1		PF04358	COG2920	K11179	Q2NU63.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Bruguierivoracaceae; g__Sodalis; s__		DsrC	COG2920	tusE
Q8K998.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Buchnera aphidicola str. Sg (Schizaphis graminum)	Reviewed_Outgroup	outgroup	outgroup	Q8K998.1		PF04358	COG2920	K11179	Q8K998.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DsrC	COG2920	tusE
P57539.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Reviewed_Outgroup	outgroup	outgroup	P57539.1		PF04358	COG2920	K11179	P57539.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DsrC	COG2920	tusE
Q89AA8.1	RecName: Full=Sulfurtransferase TusE; AltName: Full=tRNA 2-thiouridine synthesizing protein E	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Reviewed_Outgroup	outgroup	outgroup	Q89AA8.1		PF04358	COG2920		Q89AA8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DsrC	COG2920	
aacx___DEACI_0677	sulfur relay protein, TusE/DsrC/DsvC family	Acididesulfobacillus acetoxydans	Curated_Ingroup	dsrC	dsrC	aacx___DEACI_0677		PF04358	COG2920	K23077	aacx___DEACI_0677	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		DsrC	COG2920	dsrC
aba___Acid345_0635	DsrC-like protein	Candidatus Koribacter versatilis Ellin345	Curated_Ingroup	dsrC	dsrC	aba___Acid345_0635		PF04358	COG2920		aba___Acid345_0635	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Candidatus Koribacter; s__		DsrC	COG2920	
acii___C4901_06790	TusE/DsrC/DsvC family sulfur relay protein	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	dsrC	dsrC	acii___C4901_06790		PF04358	COG2920	K23077;K11179	acii___C4901_06790	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		DsrC	COG2920	dsrC;tusE
adg___Adeg_0035	sulfur relay protein, TusE/DsrC/DsvC family	Ammonifex degensii KC4	Curated_Ingroup	dsrC	dsrC	adg___Adeg_0035		PF04358	COG2920	K23077	adg___Adeg_0035	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		DsrC	COG2920	dsrC
aeh___Mlg_1658	DsrC family protein	Alkalilimnicola ehrlichii MLHE-1	Curated_Ingroup	dsrC	dsrC	aeh___Mlg_1658		PF04358	COG2920	K23077;K11179	aeh___Mlg_1658	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__		DsrC	COG2920	dsrC;tusE
alv___Alvin_1256	dsrC; DsrC	Allochromatium vinosum DSM 180	Curated_Ingroup	dsrC	dsrC	alv___Alvin_1256		PF04358	COG2920	K11179;K23077	alv___Alvin_1256	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DsrC	COG2920	tusE;dsrC
aphf___CVPH_1066	intracellular sulfur oxidation protein DsrC	Abyssogena phaseoliformis symbiont OG214	Curated_Ingroup	dsrC	dsrC	aphf___CVPH_1066		PF04358	COG2920	K23077;K11179	aphf___CVPH_1066	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__		DsrC	COG2920	dsrC;tusE
apo___Arcpr_1726	sulfur relay protein, TusE/DsrC/DsvC family	Archaeoglobus profundus DSM 5631	Curated_Ingroup	dsrC	dsrC	apo___Arcpr_1726		PF04358	COG2920	K23077	apo___Arcpr_1726	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		DsrC	COG2920	dsrC
ast___Asulf_02292	Dissimilatory sulfite reductase (desulfoviridin), gamma subunit	Archaeoglobus sulfaticallidus PM70-1	Curated_Ingroup	dsrC	dsrC	ast___Asulf_02292		PF04358	COG2920	K23077;K11179	ast___Asulf_02292	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		DsrC	COG2920	dsrC;tusE
ave___Arcve_1692	sulfur relay protein, TusE/DsrC/DsvC family	Archaeoglobus veneficus SNP6	Curated_Ingroup	dsrC	dsrC	ave___Arcve_1692		PF04358	COG2920	K23077;K11179	ave___Arcve_1692	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		DsrC	COG2920	dsrC;tusE
bacc___BRDCF_p2144	dsvC; Sulfite reductase, dissimilatory-type subunit gamma	Bacteroidales bacterium CF	Curated_Ingroup	dsrC	dsrC	bacc___BRDCF_p2144		PF04358	COG2920	K23077	bacc___BRDCF_p2144	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__		DsrC	COG2920	dsrC
bbag___E1O_03070	sulfite reductase, dissimilatory-type subunit gamma	Burkholderiales bacterium GJ-E10	Curated_Ingroup	dsrC	dsrC	bbag___E1O_03070		PF04358	COG2920	K23077;K11179	bbag___E1O_03070	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__		DsrC	COG2920	dsrC;tusE
blag___BLTE_30790	sulfurtransferase TusE	Blastochloris tepida	Curated_Ingroup	dsrC	dsrC	blag___BLTE_30790		PF04358	COG2920	K23077;K11179	blag___BLTE_30790	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Blastochloridaceae; g__Blastochloris; s__		DsrC	COG2920	dsrC;tusE
blep___AL038_07465	tusE; TusE/DsrC/DsvC family sulfur relay protein	Beggiatoa leptomitoformis	Curated_Ingroup	dsrC	dsrC	blep___AL038_07465		PF04358	COG2920	K11179;K23077	blep___AL038_07465	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Beggiatoa; s__		DsrC	COG2920	tusE;dsrC
bvir___I6J59_05685	TusE/DsrC/DsvC family sulfur relay protein	Butyricimonas virosa	Curated_Ingroup	dsrC	dsrC	bvir___I6J59_05685		PF04358	COG2920	K23077	bvir___I6J59_05685	d__; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__Butyricimonas; s__		DsrC like protein	Sulfur relay (sulfurtransferase) protein, DsrC/TusE family	dsrC; dissimilatory sulfite reductase related protein
cbac___JI75_04600	sulfur relay protein TusE	Berryella intestinalis	Curated_Ingroup	dsrC	dsrC	cbac___JI75_04600		PF04358	COG2920	K23077	cbac___JI75_04600	d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Berryella; s__		DsrC	COG2920	dsrC
cch___Cag_1957	sulfite reductase, dissimilatory-type, gamma subunit	Chlorobium chlorochromatii CaD3	Curated_Ingroup	dsrC	dsrC	cch___Cag_1957		PF04358	COG2920	K23077;K11179	cch___Cag_1957	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__		DsrC	COG2920	dsrC;tusE
chy___CHY_2402	dsrC; dissimilatory sulfite reductase subunit C	Carboxydothermus hydrogenoformans Z-2901	Curated_Ingroup	dsrC	dsrC	chy___CHY_2402		PF04358	COG2920	K23077	chy___CHY_2402	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Carboxydothermus; s__		DsrC	COG2920	dsrC
cjap___GWK36_14275	TusE/DsrC/DsvC family sulfur relay protein	Caldichromatium japonicum	Curated_Ingroup	dsrC	dsrC	cjap___GWK36_14275		PF04358	COG2920		cjap___GWK36_14275	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Caldichromatium; s__		DsrC	COG2920	
cli___Clim_0693	sulfur relay protein, TusE/DsrC/DsvC family	Chlorobium limicola DSM 245	Curated_Ingroup	dsrC	dsrC	cli___Clim_0693		PF04358	COG2920	K23077;K11179	cli___Clim_0693	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__		DsrC	COG2920	dsrC;tusE
cma___Cmaq_0856	DsrC family protein	Caldivirga maquilingensis IC-167	Curated_Ingroup	dsrC	dsrC	cma___Cmaq_0856		PF04358	COG2920	K23077	cma___Cmaq_0856	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Caldivirga; s__		DsrC	COG2920	dsrC
