tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
QFG35248.1	thiosulfohydrolase SoxB [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxB	soxB	QFG35248.1		PF02872	COG0737	K17224	QFG35248.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Paracoccus; s__		5_nucleotid_C	COG0737	soxB
QFI62075.1	bifunctional metallophosphatase/5'-nucleotidase [Qipengyuania flava]	Qipengyuania flava	Reviewed_Ingroup	putative_soxB	putative_soxB	QFI62075.1		PF02872	COG0737	K17224	QFI62075.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Qipengyuania; s__		5_nucleotid_C	COG0737	soxB
Q1W3E6	SoxB	Allochromatium vinosum	Reviewed_Ingroup	soxB	soxB	Q1W3E6		PF02872	COG0737	K17224	Q1W3E6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		5_nucleotid_C	COG0737	soxB
A9BJC1.1	RecName: Full=Mannosylglucosyl-3-phosphoglycerate phosphatase; Short=MGPG phosphatase; Flags: Precursor	Petrotoga mobilis SJ95	Reviewed_Outgroup	outgroup	outgroup	A9BJC1.1		PF00149;PF02872	COG0737	K11751	A9BJC1.1	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Petrotogales; f__Petrotogaceae; g__Petrotoga; s__		Metallophos;5_nucleotid_C	COG0737	ushA
P21589.1	RecName: Full=5'-nucleotidase; Short=5'-NT; AltName: Full=5'-deoxynucleotidase; AltName: Full=Ecto-5'-nucleotidase; AltName: Full=IMP-specific 5'-nucleotidase; AltName: Full=Thymidylate 5'-phosphatase; AltName: CD_antigen=CD73; Flags: Precursor	Homo sapiens	Reviewed_Outgroup	outgroup	outgroup	P21589.1		PF00149;PF02872	COG0737	K19970;K11751	P21589.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		Metallophos;5_nucleotid_C	COG0737	NT5E;ushA
ppan___ESD82_03390	soxB; thiosulfohydrolase SoxB	Paracoccus pantotrophus	Curated_Ingroup	soxB	soxB	ppan___ESD82_03390		PF02872	COG0737	K17224	ppan___ESD82_03390	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		5_nucleotid_C	COG0737	soxB
cazt___LV780_16100	soxB; thiosulfohydrolase SoxB	Cereibacter azotoformans	Curated_Ingroup	soxB	soxB	cazt___LV780_16100		PF02872	COG0737	K17224	cazt___LV780_16100	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		5_nucleotid_C	COG0737	soxB
rbg___BG454_05030	soxB; thiosulfohydrolase SoxB	Rhodobaca barguzinensis	Curated_Ingroup	soxB	soxB	rbg___BG454_05030		PF00149;PF02872	COG0737	K17224	rbg___BG454_05030	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobaca; s__		Metallophos;5_nucleotid_C	COG0737	soxB
tec___AKL02_013810	soxB; thiosulfohydrolase SoxB	Thioclava electrotropha	Curated_Ingroup	soxB	soxB	tec___AKL02_013810		PF02872	COG0737	K17224	tec___AKL02_013810	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__		5_nucleotid_C	COG0737	soxB
ptp___RCA23_c17370	soxB2; sulfur oxidation protein SoxB	Planktomarina temperata RCA23	Curated_Ingroup	soxB	soxB	ptp___RCA23_c17370		PF00149;PF02872	COG0737	K17224	ptp___RCA23_c17370	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__		Metallophos;5_nucleotid_C	COG0737	soxB
