tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AJE75769.1	MddA [Pseudomonas deceptionensis]	Pseudomonas deceptionensis	Reviewed_Ingroup	mddA2	mddA2	AJE75769.1		PF07298	COG2020	K21310	AJE75769.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		NnrU	COG2020	mddA
WP_009545670.1	isoprenylcysteine carboxylmethyltransferase family protein [Crocosphaera subtropica]	Crocosphaera subtropica	Reviewed_Ingroup	mddA4	mddA4	WP_009545670.1		PF04191	COG2020	K21310	WP_009545670.1	d__Bacteria; p__Cyanobacteria; c__; o__Chroococcales; f__Aphanothecaceae; g__Crocosphaera; s__		PEMT	COG2020	mddA
NP_217755.1	integral membrane protein [Mycobacterium tuberculosis H37Rv]	Mycobacterium tuberculosis H37Rv	Reviewed_Ingroup	mddA1	mddA1	NP_217755.1		PF07298	COG2020	K21310	NP_217755.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		NnrU	COG2020	mddA
WP_008148420.1	hypothetical protein [Pseudomonas sp. GM41(2012)]	Pseudomonas sp. GM41(2012)	Reviewed_Ingroup	mddA2	mddA2	WP_008148420.1			COG2020	K21310	WP_008148420.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__			COG2020	mddA
WP_011084036.1	isoprenylcysteine carboxylmethyltransferase family protein [Bradyrhizobium diazoefficiens]	Bradyrhizobium diazoefficiens	Reviewed_Ingroup	mddA5	mddA5	WP_011084036.1		PF07298	COG2020	K21310	WP_011084036.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__		NnrU	COG2020	mddA
WP_011088485.1	isoprenylcysteine carboxylmethyltransferase family protein [Bradyrhizobium diazoefficiens]	Bradyrhizobium diazoefficiens	Reviewed_Ingroup	mddA3	mddA3	WP_011088485.1		PF07298	COG2020	K21310	WP_011088485.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__		NnrU	COG2020	mddA
Q1XHX8.1	RecName: Full=Nurim; AltName: Full=Nuclear envelope membrane protein; AltName: Full=Nuclear rim protein	Pan troglodytes	Reviewed_Outgroup			Q1XHX8.1				K21310	Q1XHX8.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Pan; s__				mddA
Q296J9.1	RecName: Full=Nurim homolog; AltName: Full=Nuclear envelope membrane protein; AltName: Full=Nuclear rim protein	Drosophila pseudoobscura pseudoobscura	Reviewed_Outgroup			Q296J9.1				K21310	Q296J9.1	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__				mddA
Q6GNM0.1	RecName: Full=Nurim; AltName: Full=Nuclear envelope membrane protein; AltName: Full=Nuclear rim protein	Xenopus laevis	Reviewed_Outgroup			Q6GNM0.1					Q6GNM0.1	d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Pipidae; g__Xenopus; s__				
Q9VEG9.1	RecName: Full=Nurim homolog; AltName: Full=Nuclear envelope membrane protein; AltName: Full=Nuclear rim protein	Drosophila melanogaster	Reviewed_Outgroup			Q9VEG9.1				K21310	Q9VEG9.1	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__				mddA
