tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90108.1	ABC transporter, substrate binding protein (sugar) [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoF	smoF	AAK90108.1		PF01547	COG1653	K10236;K02027	AAK90108.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		SBP_bac_1	COG1653	thuE;ABC.MS.S
Q9RUE8.1	RecName: Full=Probable ABC transporter-binding protein DR_1438; Flags: Precursor	Deinococcus radiodurans R1	Reviewed_Outgroup			Q9RUE8.1		PF01547	COG1653	K02027;K10236	Q9RUE8.1	d__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__		SBP_bac_1	COG1653	ABC.MS.S;thuE
Q7LYW7.2	RecName: Full=Trehalose/maltose-binding protein MalE; Short=TMBP; Flags: Precursor	Thermococcus litoralis DSM 5473	Reviewed_Outgroup			Q7LYW7.2		PF01547	COG1653	K02027;K10236	Q7LYW7.2	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		SBP_bac_1	COG1653	ABC.MS.S;thuE
Q2YKZ9.1	RecName: Full=Putative binding protein BAB2_0491; Flags: Precursor	Brucella abortus 2308	Reviewed_Outgroup			Q2YKZ9.1		PF01547	COG1653	K02027	Q2YKZ9.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Brucellaceae; g__Brucella; s__		SBP_bac_1	COG1653	ABC.MS.S
aad___TC41_2364	extracellular solute-binding protein family 1	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	Curated_Outgroup			aad___TC41_2364		PF01547	COG1653	K10236;K02027	aad___TC41_2364	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		SBP_bac_1	COG1653	thuE;ABC.MS.S
aala___IGS74_16255	ABC transporter substrate-binding protein	Aureimonas sp. OT7	Curated_Outgroup			aala___IGS74_16255		PF01547	COG1653	K02027;K10236	aala___IGS74_16255	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Aurantimonadaceae; g__Aureimonas; s__		SBP_bac_1	COG1653	ABC.MS.S;thuE
aamy___GFC30_1042	bacterial extracellular solute-binding family protein	Anoxybacillus amylolyticus	Curated_Outgroup			aamy___GFC30_1042		PF01547	COG1653	K02027;K10236	aamy___GFC30_1042	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		SBP_bac_1	COG1653	ABC.MS.S;thuE
abq___ABAZ39_24095	ABC transporter substrate-binding protein	Azospirillum brasilense	Curated_Outgroup			abq___ABAZ39_24095		PF01547	COG1653	K10236	abq___ABAZ39_24095	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		SBP_bac_1	COG1653	thuE
acai___ISX45_00670	ABC transporter substrate-binding protein	Anoxybacillus caldiproteolyticus	Curated_Outgroup			acai___ISX45_00670		PF01547	COG1653	K02027;K10236	acai___ISX45_00670	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		SBP_bac_1	COG1653	ABC.MS.S;thuE
acut___MRB58_09965	ABC transporter substrate-binding protein	Acuticoccus sp. I52.16.1	Curated_Outgroup			acut___MRB58_09965		PF13416	COG1653	K10236	acut___MRB58_09965	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Amorphaceae; g__Acuticoccus; s__		SBP_bac_8	COG1653	thuE
