tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADJ22514.1	CoB--CoM heterodisulfide reductase [Hyphomicrobium denitrificans ATCC 51888]	Hyphomicrobium denitrificans ATCC 51888	Reviewed_Ingroup	sHdrB2	sHdrB2	ADJ22514.1		PF02754;PF02754	COG2048	K03389	ADJ22514.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
AAC06672.1	heterodisulfide reductase subunit B [Aquifex aeolicus VF5]	Aquifex aeolicus VF5	Reviewed_Ingroup	sHdrB2	sHdrB2	AAC06672.1		PF02754;PF02754	COG2048	K03389	AAC06672.1	d__Bacteria; p__Aquificota; c__Aquificia; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
O27907.1	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit B; AltName: Full=CoB--CoM heterodisulfide reductase subunit B	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27907.1		PF02754;PF02754	COG2048	K03389	O27907.1	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P84623.2	RecName: Full=Heterodisulfide reductase subunit B-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84623.2		PF02754;PF02754	COG2048	K03389	P84623.2	d__Archaea; p__Methanobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q50755.1	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit B; AltName: Full=CoB--CoM heterodisulfide reductase subunit B	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	Q50755.1		PF02754;PF02754	COG2048	K03389	Q50755.1	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58153.1	RecName: Full=CoB--CoM heterodisulfide reductase subunit B 1	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58153.1		PF02754;PF02754	COG2048	K03389	Q58153.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58273.1	RecName: Full=CoB--CoM heterodisulfide reductase subunit B 2	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58273.1		PF02754;PF02754	COG2048	K03389	Q58273.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q7M825.1	RecName: Full=8-methylmenaquinol:fumarate reductase membrane anchor subunit; Short=MFR membrane anchor subunit	Wolinella succinogenes DSM 1740	Reviewed_Outgroup			Q7M825.1		PF02754;PF02754	COG2048	K03389	Q7M825.1	d__Bacteria; p__Campylobacterota; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8PY83.2	RecName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit B	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8PY83.2		PF02754;PF02754	COG2048	K03389	Q8PY83.2	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TIB8.1	RecName: Full=Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit B; AltName: Full=Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase subunit B; AltName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit B	Methanosarcina acetivorans C2A	Reviewed_Outgroup	outgroup	outgroup	Q8TIB8.1		PF02754;PF02754	COG2048	K03389	Q8TIB8.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
