tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_028793641.1	methyltransferase [Thalassobaculum salexigens]	Thalassobaculum salexigens	Reviewed_Ingroup	dsyB	dsyB	WP_028793641.1		PF16864;PF00891	COG2226		WP_028793641.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassobaculaceae; g__Thalassobaculum; s__		Dimerisation2;Methyltransf_2	COG2226	
WP_018697905.1	methyltransferase [Amorphus coralli]	Amorphus coralli	Reviewed_Ingroup	dsyB	dsyB	WP_018697905.1		PF16864;PF00891	COG2226	K24666	WP_018697905.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Amorphaceae; g__Amorphus; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
WP_009805585.1	methyltransferase [Pseudooceanicola batsensis]	Pseudooceanicola batsensis	Reviewed_Ingroup	dsyB	dsyB	WP_009805585.1		PF16864;PF00891	COG2226	K24666	WP_009805585.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudooceanicola; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
WP_005854984.1	methyltransferase [Sagittula stellata]	Sagittula stellata	Reviewed_Ingroup	dsyB	dsyB	WP_005854984.1		PF16864;PF00891	COG2226	K24666	WP_005854984.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sagittula; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
WP_026756701.1	methyltransferase [Sediminimonas qiaohouensis]	Sediminimonas qiaohouensis	Reviewed_Ingroup	dsyB	dsyB	WP_026756701.1		PF16864;PF00891	COG2226	K24666	WP_026756701.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sediminimonas; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
AOR83342.1	DsyB [Roseibium aggregatum]	Roseibium aggregatum	Reviewed_Ingroup	dsyB	dsyB	AOR83342.1		PF16864;PF00891	COG2226	K24666	AOR83342.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Roseibium; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
WP_075282486.1	methyltransferase [Roseibium aggregatum]	Roseibium aggregatum	Reviewed_Ingroup	dsyB	dsyB	WP_075282486.1		PF16864;PF00891	COG2226	K24666	WP_075282486.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Roseibium; s__		Dimerisation2;Methyltransf_2	COG2226	dsyB
B0CN31.1	RecName: Full=L-tyrosine C(3)-methyltransferase	Streptomyces lavendulae	Reviewed_Outgroup			B0CN31.1		PF00891	COG2230	K21460	B0CN31.1	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Kitasatosporales; f__Streptomycetaceae; g__Streptomyces; s__		O-methyltransferase	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	sfmM2; L-tyrosine C(3)-methyltransferase [EC:2.1.1.304]
B3GSH5.1	RecName: Full=Acetylserotonin O-methyltransferase; AltName: Full=Hydroxyindole O-methyltransferase	Rattus norvegicus	Reviewed_Outgroup			B3GSH5.1		PF16864;PF00891	COG4106	K00543	B3GSH5.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Rattus; s__		Dimerisation domain||O-methyltransferase	Trans-aconitate methyltransferase	ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]
B4XY98.1	RecName: Full=3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase; AltName: Full=Azinomycin biosynthesis protein B2	Streptomyces sahachiroi	Reviewed_Outgroup			B4XY98.1		PF16864;PF00891	COG0500	K21377	B4XY98.1	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Kitasatosporales; f__Streptomycetaceae; g__Streptomyces; s__		Dimerisation domain||O-methyltransferase	SAM-dependent methyltransferase	aziB2; 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase [EC:2.1.1.302]
