tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q8E9W8	Cytochrome c, putative	Shewanella oneidensis	Reviewed_Ingroup	otr	otr	Q8E9W8		PF13435;PF11783			Q8E9W8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554;Cytochrome_cB		
ABW68808.1	cytochrome c family protein [Desulfosudis oleivorans Hxd3]	Desulfosudis oleivorans Hxd3	Reviewed_Ingroup	otr	otr	ABW68808.1		PF13435;PF14522;PF11783			ABW68808.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfosudaceae; g__Desulfosudis; s__		Cytochrome_C554;Cytochrome_C7;Cytochrome_cB		
ABK43396.1	cytochrome c family protein [Magnetococcus marinus MC-1]	Magnetococcus marinus MC-1	Reviewed_Ingroup	otr	otr	ABK43396.1		PF11783			ABK43396.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Magnetococcales; f__Magnetococcaceae; g__Magnetococcus; s__		Cytochrome_cB		
ABB24059.1	cytochrome c family protein [Pelodictyon luteolum DSM 273]	Pelodictyon luteolum DSM 273	Reviewed_Ingroup	otr	otr	ABB24059.1		PF13435;PF11783	COG3303		ABB24059.1	d__Bacteria; p__Chlorobiota; c__Chlorobiia; o__Chlorobiales; f__Chlorobiaceae; g__Pelodictyon; s__		Cytochrome_C554;Cytochrome_cB	COG3303	
ABS26794.1	cytochrome c family protein [Anaeromyxobacter sp. Fw109-5]	Anaeromyxobacter sp. Fw109-5	Reviewed_Ingroup	otr	otr	ABS26794.1		PF11783	COG3303		ABS26794.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__		Cytochrome_cB	COG3303	
AAR35577.1	cytochrome c [Geobacter sulfurreducens PCA]	Geobacter sulfurreducens PCA	Reviewed_Ingroup	otr	otr	AAR35577.1		PF11783			AAR35577.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		Cytochrome_cB		
ACD95187.1	hypothetical protein Glov_1468 [Trichlorobacter lovleyi SZ]	Trichlorobacter lovleyi SZ	Reviewed_Ingroup	otr	otr	ACD95187.1		PF01835;PF13290;PF13290;PF11783	COG2373		ACD95187.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Trichlorobacter; s__		A2M_N;CHB_HEX_C_1;CHB_HEX_C_1;Cytochrome_cB	COG2373	
ABV36793.1	hypothetical protein Ssed_2184 [Shewanella sediminis HAW-EB3]	Shewanella sediminis HAW-EB3	Reviewed_Ingroup	otr	otr	ABV36793.1		PF11783			ABV36793.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_cB		
ABB14483.1	putative cytochrome c [Carboxydothermus hydrogenoformans Z-2901]	Carboxydothermus hydrogenoformans Z-2901	Reviewed_Ingroup	otr	otr	ABB14483.1		PF13435;PF11783;PF08239			ABB14483.1	d__Bacteria; p__Bacillota; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Carboxydothermus; s__		Cytochrome_C554;Cytochrome_cB;SH3_3		
OYV92682.1	hypothetical protein B7Z68_10000 [Acidobacteria bacterium 21-70-11]	Acidobacteria bacterium 21-70-11	Reviewed_Ingroup	otr	otr	OYV92682.1		PF11783			OYV92682.1	d__Bacteria; p__Acidobacteriota; c__; o__; f__; g__; s__		Cytochrome_cB		
