tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ABD26879.1	Alkanesulfonate monooxygenase [Novosphingobium aromaticivorans DSM 12444]	Novosphingobium aromaticivorans DSM 12444	Reviewed_Ingroup	squD	squD	ABD26879.1		PF00296	COG2141	K04091	ABD26879.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__		Bac_luciferase	COG2141	ssuD
C1DN48.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Azotobacter vinelandii DJ	Reviewed_Outgroup	outgroup	outgroup	C1DN48.1		PF00296	COG2141	K04091	C1DN48.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__		Bac_luciferase	COG2141	ssuD
B2UAU3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Ralstonia pickettii 12J	Reviewed_Outgroup	outgroup	outgroup	B2UAU3.1		PF00296	COG2141	K04091	B2UAU3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__		Bac_luciferase	COG2141	ssuD
Q9I1C2.1	RecName: Full=Methanesulfonate monooxygenase; AltName: Full=FMNH2-dependent methanesulfonate monooxygenase; AltName: Full=Methanesulfonate sulfonatase	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	Q9I1C2.1		PF00296	COG2141	K04091	Q9I1C2.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Bac_luciferase	COG2141	ssuD
Q98DT4.1	RecName: Full=Alkanesulfonate monooxygenase 2; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase 2	Mesorhizobium japonicum MAFF 303099	Reviewed_Outgroup	outgroup	outgroup	Q98DT4.1		PF00296	COG2141	K04091	Q98DT4.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Bac_luciferase	COG2141	ssuD
Q65M61.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Bacillus licheniformis DSM 13 = ATCC 14580	Reviewed_Outgroup	outgroup	outgroup	Q65M61.1		PF00296	COG2141	K04091	Q65M61.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	ssuD
D2TDP0.2	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Erwinia pyrifoliae DSM 12163	Reviewed_Outgroup	outgroup	outgroup	D2TDP0.2		PF00296	COG2141	K04091	D2TDP0.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia; s__		Bac_luciferase	COG2141	ssuD
A7FDL9.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Yersinia pseudotuberculosis IP 31758	Reviewed_Outgroup	outgroup	outgroup	A7FDL9.1		PF00296	COG2141	K04091	A7FDL9.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		Bac_luciferase	COG2141	ssuD
B7KX11.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Methylorubrum extorquens CM4	Reviewed_Outgroup	outgroup	outgroup	B7KX11.1		PF00296	COG2141	K04091	B7KX11.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylobacteriaceae; g__Methylorubrum; s__		Bac_luciferase	COG2141	ssuD
A1TRM3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Acidovorax citrulli AAC00-1	Reviewed_Outgroup	outgroup	outgroup	A1TRM3.1		PF00296	COG2141	K04091	A1TRM3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		Bac_luciferase	COG2141	ssuD
B3QIN8.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Rhodopseudomonas palustris TIE-1	Reviewed_Outgroup	outgroup	outgroup	B3QIN8.1		PF00296	COG2141	K04091	B3QIN8.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Rhodopseudomonas; s__		Bac_luciferase	COG2141	ssuD
A7Z2Q3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Bacillus velezensis FZB42	Reviewed_Outgroup	outgroup	outgroup	A7Z2Q3.1		PF00296	COG2141	K04091	A7Z2Q3.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	ssuD
C5CNW9.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Variovorax paradoxus S110	Reviewed_Outgroup	outgroup	outgroup	C5CNW9.1		PF00296	COG2141	K04091	C5CNW9.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__		Bac_luciferase	COG2141	ssuD
Q8UAE8.2	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Agrobacterium fabrum str. C58	Reviewed_Outgroup	outgroup	outgroup	Q8UAE8.2		PF00296	COG2141	K04091	Q8UAE8.2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Bac_luciferase	COG2141	ssuD
A9FK50.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Sorangium cellulosum So ce56	Reviewed_Outgroup	outgroup	outgroup	A9FK50.1		PF00296	COG2141	K04091	A9FK50.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Sorangium; s__		Bac_luciferase	COG2141	ssuD
Q98CB9.1	RecName: Full=Alkanesulfonate monooxygenase 1; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase 1	Mesorhizobium japonicum MAFF 303099	Reviewed_Outgroup	outgroup	outgroup	Q98CB9.1		PF00296	COG2141	K04091	Q98CB9.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Bac_luciferase	COG2141	ssuD
Q8PP38.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Xanthomonas citri pv. citri str. 306	Reviewed_Outgroup	outgroup	outgroup	Q8PP38.1		PF00296	COG2141	K04091	Q8PP38.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas; s__		Bac_luciferase	COG2141	ssuD
B2T3J1.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Paraburkholderia phytofirmans PsJN	Reviewed_Outgroup	outgroup	outgroup	B2T3J1.1		PF00296	COG2141	K04091	B2T3J1.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		Bac_luciferase	COG2141	ssuD
aac___Aaci_2847	alkanesulfonate monooxygenase, FMNH(2)-dependent	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Curated_Outgroup	outgroup	outgroup	aac___Aaci_2847		PF00296	COG2141	K04091	aac___Aaci_2847	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		Bac_luciferase	COG2141	ssuD
