tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P32143.2	RecName: Full=Sulfofructose kinase; Short=SF kinase	Escherichia coli K-12	Reviewed_Ingroup	yihV	yihV	P32143.2		PF00294	COG0524	K18478	P32143.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		PfkB	COG0524	yihV
Q9K6K1.1	RecName: Full=Ribokinase; Short=RK	Halalkalibacterium halodurans C-125	Reviewed_Outgroup	outgroup	outgroup	Q9K6K1.1		PF00294	COG0524	K00852	Q9K6K1.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halalkalibacterium (ex Joshi et al. 2022); s__		PfkB	COG0524	rbsK
E9AD19.1	RecName: Full=Ribokinase; Short=RK	Leishmania major	Reviewed_Outgroup	outgroup	outgroup	E9AD19.1		PF00294	COG0524	K00852	E9AD19.1	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Leishmania; s__		PfkB	COG0524	rbsK
Q8R1Q9.1	RecName: Full=Ribokinase; Short=RK	Mus musculus	Reviewed_Outgroup	outgroup	outgroup	Q8R1Q9.1		PF00294	COG0524	K00852	Q8R1Q9.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		PfkB	COG0524	rbsK
acac___EYQ97_14885	carbohydrate kinase	Anaerostipes caccae	Curated_Outgroup			acac___EYQ97_14885		PF00294;PF00294	COG0524	K18478	acac___EYQ97_14885	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		PfkB;PfkB	COG0524	yihV
acai___ISX45_14715	rbsK; ribokinase	Anoxybacillus caldiproteolyticus	Curated_Outgroup	outgroup	outgroup	acai___ISX45_14715		PF00294	COG0524	K00852	acai___ISX45_14715	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		PfkB	COG0524	rbsK
agr___AGROH133_08520	sugar kinase	Agrobacterium fabacearum	Curated_Outgroup			agr___AGROH133_08520		PF00294	COG0524	K18478	agr___AGROH133_08520	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
agt___EYD00_10600	sugar kinase	Agrobacterium sp. 33MFTa1.1	Curated_Outgroup			agt___EYD00_10600		PF00294	COG0524	K18478	agt___EYD00_10600	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
ahn___NCTC12129_04956	yihV_1; sugar kinase yihV	Atlantibacter hermannii	Curated_Ingroup	yihV	yihV	ahn___NCTC12129_04956		PF00294	COG0524		ahn___NCTC12129_04956	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter; s__		PfkB	COG0524	
ahn___NCTC12129_04957	yihV_2; sugar kinase yihV	Atlantibacter hermannii	Curated_Ingroup	yihV	yihV	ahn___NCTC12129_04957		PF00294	COG0524		ahn___NCTC12129_04957	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter; s__		PfkB	COG0524	
alam___RT761_00721	yihV; Sulfofructose kinase	Atribacter laminatus	Curated_Outgroup			alam___RT761_00721		PF00294	COG0524	K18478	alam___RT761_00721	d__Bacteria; p__Atribacterota; c__Atribacteria; o__Atribacterales; f__Atribacteraceae; g__Atribacter; s__		PfkB	COG0524	yihV
alf___CFBP5473_20760	sugar kinase	Agrobacterium larrymoorei	Curated_Outgroup			alf___CFBP5473_20760		PF00294	COG0524	K18478	alf___CFBP5473_20760	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
and___GRQ40_17390	rbsK; ribokinase	Anoxybacillus sp. PDR2	Curated_Outgroup	outgroup	outgroup	and___GRQ40_17390		PF00294	COG0524	K00852	and___GRQ40_17390	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		PfkB	COG0524	rbsK
anx___ACH33_14535	ribokinase	Aneurinibacillus sp. XH2	Curated_Outgroup	outgroup	outgroup	anx___ACH33_14535		PF00294	COG0524	K00852	anx___ACH33_14535	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Aneurinibacillus; s__		PfkB	COG0524	rbsK
ara___Arad_9787	carbohydrate kinase protein	Agrobacterium radiobacter K84	Curated_Outgroup			ara___Arad_9787		PF00294	COG0524	K18478	ara___Arad_9787	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
aro___B0909_00390	sugar kinase	Agrobacterium rhizogenes	Curated_Outgroup			aro___B0909_00390		PF00294	COG0524	K18478	aro___B0909_00390	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
asoc___CB4_03675	rbsK; Ribokinase	Aneurinibacillus soli	Curated_Outgroup	outgroup	outgroup	asoc___CB4_03675		PF00294	COG0524	K00852	asoc___CB4_03675	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Aneurinibacillus; s__		PfkB	COG0524	rbsK
atu___Atu2509	sugar kinase	Agrobacterium fabrum str. C58	Curated_Outgroup			atu___Atu2509		PF00294	COG0524	K18478	atu___Atu2509	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		PfkB	COG0524	yihV
axl___AXY_19560	rbsK; ribokinase	Amphibacillus xylanus NBRC 15112	Curated_Outgroup	outgroup	outgroup	axl___AXY_19560		PF00294	COG0524	K00852	axl___AXY_19560	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Amphibacillus; s__		PfkB	COG0524	rbsK
bacq___DOE78_22780	rbsK; ribokinase	Bacillus sp. Y1	Curated_Outgroup	outgroup	outgroup	bacq___DOE78_22780		PF00294	COG0524	K00852	bacq___DOE78_22780	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		PfkB	COG0524	rbsK
bage___BADSM9389_41400	sugar kinase	Buttiauxella agrestis	Curated_Ingroup	yihV	yihV	bage___BADSM9389_41400		PF00294	COG0524	K18478	bage___BADSM9389_41400	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Buttiauxella; s__		PfkB	COG0524	yihV
barh___WN72_03730	sugar kinase	Bradyrhizobium arachidis	Curated_Outgroup			barh___WN72_03730		PF00294	COG0524	K18478	barh___WN72_03730	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
barh___WN72_18540	sugar kinase	Bradyrhizobium arachidis	Curated_Outgroup			barh___WN72_18540		PF00294	COG0524	K18478	barh___WN72_18540	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
bbet___F8237_12565	sugar kinase	Bradyrhizobium betae	Curated_Outgroup			bbet___F8237_12565		PF00294	COG0524	K18478	bbet___F8237_12565	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
bcl___ABC3548	rbsK; ribokinase	Alkalihalobacillus clausii KSM-K16	Curated_Outgroup	outgroup	outgroup	bcl___ABC3548		PF00294	COG0524	K00852	bcl___ABC3548	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalihalobacillus; s__		PfkB	COG0524	rbsK
bco___Bcell_0297	ribokinase	Evansella cellulosilytica DSM 2522	Curated_Outgroup	outgroup	outgroup	bco___Bcell_0297		PF00294	COG0524	K00852	bco___Bcell_0297	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Evansella; s__		PfkB	COG0524	rbsK
bdg___LPJ38_07995	sugar kinase	Bradyrhizobium daqingense	Curated_Outgroup			bdg___LPJ38_07995		PF00294	COG0524	K18478	bdg___LPJ38_07995	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
bel___BE61_02730	carbohydrate kinase	Bradyrhizobium elkanii USDA 61	Curated_Outgroup			bel___BE61_02730		PF00294	COG0524	K18478	bel___BE61_02730	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
bel___BE61_34070	sugar kinase	Bradyrhizobium elkanii USDA 61	Curated_Outgroup			bel___BE61_34070		PF00294	COG0524	K18478	bel___BE61_34070	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		PfkB	COG0524	yihV
