tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_105958949.1	class II fructose-bisphosphate aldolase [Alkalicoccus urumqiensis]	Alkalicoccus urumqiensis	Reviewed_Ingroup	sqiA	sqiA	WP_105958949.1		PF01116	COG0191	K01624	WP_105958949.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalicoccus; s__		F_bP_aldolase	COG0191	FBA
A4WEV6.1	RecName: Full=D-tagatose-1,6-bisphosphate aldolase subunit KbaY; Short=TBPA; Short=TagBP aldolase; AltName: Full=D-tagatose-bisphosphate aldolase class II; AltName: Full=Ketose 1,6-bisphosphate aldolase class II; AltName: Full=Tagatose-bisphosphate aldolase	Enterobacter sp. 638	Reviewed_Outgroup	outgroup	outgroup	A4WEV6.1		PF01116	COG0191	K08302;K01624	A4WEV6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__		F_bP_aldolase	COG0191	gatY-kbaY;FBA
Q703I2.1	RecName: Full=Fructose-bisphosphate aldolase; Short=FBP aldolase; Short=FBPA; AltName: Full=Fructose-1,6-bisphosphate aldolase	Thermus caldophilus	Reviewed_Outgroup			Q703I2.1		PF01116	COG0191	K01624	Q703I2.1	d__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__		F_bP_aldolase	COG0191	FBA
Q8XGZ9.1	RecName: Full=D-tagatose-1,6-bisphosphate aldolase subunit GatY; Short=TBPA; Short=TagBP aldolase; AltName: Full=D-tagatose-bisphosphate aldolase class II; AltName: Full=Tagatose-bisphosphate aldolase	Salmonella enterica subsp. enterica serovar Typhi	Reviewed_Outgroup	outgroup	outgroup	Q8XGZ9.1		PF01116	COG0191	K08302;K01624	Q8XGZ9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		F_bP_aldolase	COG0191	gatY-kbaY;FBA
C0PZ24.1	RecName: Full=D-tagatose-1,6-bisphosphate aldolase subunit GatY; Short=TBPA; Short=TagBP aldolase; AltName: Full=D-tagatose-bisphosphate aldolase class II; AltName: Full=Tagatose-bisphosphate aldolase	Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594	Reviewed_Outgroup	outgroup	outgroup	C0PZ24.1		PF01116	COG0191	K08302;K01624	C0PZ24.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		F_bP_aldolase	COG0191	gatY-kbaY;FBA
Q0TFZ6.1	RecName: Full=D-tagatose-1,6-bisphosphate aldolase subunit GatY; Short=TBPA; Short=TagBP aldolase; AltName: Full=D-tagatose-bisphosphate aldolase class II; AltName: Full=Tagatose-bisphosphate aldolase	Escherichia coli 536	Reviewed_Outgroup	outgroup	outgroup	Q0TFZ6.1		PF01116	COG0191	K08302;K01624	Q0TFZ6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		F_bP_aldolase	COG0191	gatY-kbaY;FBA
Q9ZMQ6.1	RecName: Full=Fructose-bisphosphate aldolase; Short=FBP aldolase; Short=FBPA; AltName: Full=Fructose-1,6-bisphosphate aldolase	Helicobacter pylori J99	Reviewed_Outgroup			Q9ZMQ6.1		PF01116	COG0191	K01624	Q9ZMQ6.1	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__		F_bP_aldolase	COG0191	FBA
Q5HM97.1	RecName: Full=Fructose-bisphosphate aldolase; Short=FBP aldolase; Short=FBPA; AltName: Full=Fructose-1,6-bisphosphate aldolase	Staphylococcus epidermidis RP62A	Reviewed_Outgroup			Q5HM97.1		PF01116	COG0191	K01624	Q5HM97.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		F_bP_aldolase	COG0191	FBA
P94453.3	RecName: Full=Fructose-bisphosphate aldolase; Short=FBP aldolase; Short=FBPA; AltName: Full=Fructose-1,6-bisphosphate aldolase	Geobacillus stearothermophilus	Reviewed_Outgroup			P94453.3		PF01116	COG0191	K01624	P94453.3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		F_bP_aldolase	COG0191	FBA
Q9KAH3.1	RecName: Full=6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase; Short=DKGP aldolase	Halalkalibacterium halodurans C-125	Reviewed_Outgroup			Q9KAH3.1		PF01116	COG0191	K03339;K01624	Q9KAH3.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halalkalibacterium (ex Joshi et al. 2022); s__		F_bP_aldolase	COG0191	iolJ;FBA
