tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_013058330.1	MULTISPECIES: aldehyde dehydrogenase family protein [Priestia]	Priestia	Reviewed_Ingroup	sftD	sftD	WP_013058330.1		PF00171	COG1012		WP_013058330.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		Aldedh	COG1012	
aac___Aaci_0868	Aldehyde Dehydrogenase	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Curated_Outgroup			aac___Aaci_0868		PF00171	COG1012		aac___Aaci_0868	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		Aldedh	COG1012	
aacx___DEACI_3257	Aldehyde dehydrogenase family	Acididesulfobacillus acetoxydans	Curated_Outgroup			aacx___DEACI_3257		PF00171	COG1012		aacx___DEACI_3257	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Aldedh	COG1012	
aae___aq_186	aldH1; aldehyde dehydrogenase	Aquifex aeolicus VF5	Curated_Outgroup			aae___aq_186		PF00171	COG1012		aae___aq_186	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Aldedh	COG1012	
aagg___ETAA8_61360	gabD_2; Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	Anatilimnocola aggregata	Curated_Outgroup			aagg___ETAA8_61360		PF00171	COG1012		aagg___ETAA8_61360	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Anatilimnocola; s__		Aldedh	COG1012	
aamy___GFC30_2168	acyl-CoA reductase family protein	Anoxybacillus amylolyticus	Curated_Outgroup			aamy___GFC30_2168		PF00171	COG1012		aamy___GFC30_2168	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		Aldedh	COG1012	
aamy___GFC30_2781	aldehyde dehydrogenase family protein	Anoxybacillus amylolyticus	Curated_Outgroup			aamy___GFC30_2781		PF00171	COG1012		aamy___GFC30_2781	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		Aldedh	COG1012	
aba___Acid345_1531	aldehyde dehydrogenase	Candidatus Koribacter versatilis Ellin345	Curated_Outgroup	outgroup	outgroup	aba___Acid345_1531		PF00171	COG1012		aba___Acid345_1531	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Candidatus Koribacter; s__		Aldedh	COG1012	
abac___LuPra_05811	safD; Sulfoacetaldehyde dehydrogenase	Luteitalea pratensis	Curated_Outgroup	outgroup	outgroup	abac___LuPra_05811		PF00171	COG1012		abac___LuPra_05811	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		Aldedh	COG1012	
abai___IMCC26256_111744	NAD-dependent aldehyde dehydrogenase	Actinobacteria bacterium IMCC26256	Curated_Outgroup	outgroup	outgroup	abai___IMCC26256_111744		PF00171	COG1012		abai___IMCC26256_111744	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__; f__; g__; s__		Aldedh	COG1012	
acit___HPK19_07070	aldehyde dehydrogenase family protein	Arthrobacter citreus	Curated_Outgroup			acit___HPK19_07070		PF00171	COG1012		acit___HPK19_07070	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		Aldedh	COG1012	
