tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_012071702.1	CoA transferase [Marinomonas sp. MWYL1]	Marinomonas sp. MWYL1	Reviewed_Ingroup	dddD	dddD	WP_012071702.1		PF02515;PF02515	COG1804		WP_012071702.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinomonas; s__		CoA_transf_3;CoA_transf_3	COG1804	
AAQ87407.1	Hypothetical protein RNGR00281 (plasmid) [Sinorhizobium fredii NGR234]	Sinorhizobium fredii NGR234	Reviewed_Ingroup	dddD	dddD	AAQ87407.1		PF02515;PF02515	COG1804		AAQ87407.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		CoA_transf_3;CoA_transf_3	COG1804	
WP_011659284.1	CoA transferase [Burkholderia ambifaria]	Burkholderia ambifaria	Reviewed_Ingroup	dddD	dddD	WP_011659284.1		PF02515;PF02515	COG1804		WP_011659284.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		CoA_transf_3;CoA_transf_3	COG1804	
ACV84065.1	DddD [Halomonas sp. HTNK1]	Halomonas sp. HTNK1	Reviewed_Ingroup	dddD	dddD	ACV84065.1		PF02515;PF02515	COG1804		ACV84065.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__		CoA_transf_3;CoA_transf_3	COG1804	
ACY01992.1	DddD [Pseudomonas sp. J465]	Pseudomonas sp. J465	Reviewed_Ingroup	dddD	dddD	ACY01992.1		PF02515;PF02515	COG1804		ACY01992.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		CoA_transf_3;CoA_transf_3	COG1804	
ACY02894.1	DddD [Psychrobacter sp. J466]	Psychrobacter sp. J466	Reviewed_Ingroup	dddD	dddD	ACY02894.1		PF02515;PF02515	COG1804		ACY02894.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__		CoA_transf_3;CoA_transf_3	COG1804	
AEQ39135.1	putative DMSP CoA transferase [Oceanimonas doudoroffii]	Oceanimonas doudoroffii	Reviewed_Ingroup	dddD	dddD	AEQ39135.1		PF02515;PF02515	COG1804		AEQ39135.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Oceanimonas; s__		CoA_transf_3;CoA_transf_3	COG1804	
A1ADQ1.1	RecName: Full=Formyl-CoA:oxalate CoA-transferase; Short=FCOCT; AltName: Full=Formyl-coenzyme A transferase; Short=Formyl-CoA transferase	Escherichia coli APEC O1	Reviewed_Outgroup	outgroup	outgroup	A1ADQ1.1		PF02515	COG1804	K07749	A1ADQ1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		CoA_transf_3	COG1804	frc
A4YXN2.1	RecName: Full=Formyl-CoA:oxalate CoA-transferase; Short=FCOCT; AltName: Full=Formyl-coenzyme A transferase; Short=Formyl-CoA transferase	Bradyrhizobium sp. ORS 278	Reviewed_Outgroup	outgroup	outgroup	A4YXN2.1		PF02515	COG1804	K07749	A4YXN2.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		CoA_transf_3	COG1804	frc
A5EGD7.1	RecName: Full=Formyl-CoA:oxalate CoA-transferase; Short=FCOCT; AltName: Full=Formyl-coenzyme A transferase; Short=Formyl-CoA transferase	Bradyrhizobium sp. BTAi1	Reviewed_Outgroup	outgroup	outgroup	A5EGD7.1		PF02515	COG1804	K07749	A5EGD7.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__		CoA_transf_3	COG1804	frc
