tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
B7J3C9.1	RecName: Full=Tetrathionate hydrolase; Short=4THase; Short=TTH; Flags: Precursor	Acidithiobacillus ferrooxidans ATCC 23270	Reviewed_Ingroup	tetH	tetH	B7J3C9.1		PF01011;PF13360;PF13360	COG1520		B7J3C9.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		PQQ;PQQ_2;PQQ_2	COG1520	
G8YXZ9.1	RecName: Full=Tetrathionate hydrolase; Short=4THase; Short=TTH; Flags: Precursor	Acidianus ambivalens	Reviewed_Ingroup	tetH	tetH	G8YXZ9.1		PF13360;PF13360	COG1520		G8YXZ9.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		PQQ_2;PQQ_2	COG1520	
Q5X521.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Legionella pneumophila str. Paris	Reviewed_Outgroup	bamB	bamB	Q5X521.1		PF13360	COG1520	K17713	Q5X521.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__		PQQ_2	COG1520	bamB
Q32D50.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Shigella dysenteriae Sd197	Reviewed_Outgroup	bamB	bamB	Q32D50.1		PF13360	COG1520	K17713	Q32D50.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		PQQ_2	COG1520	bamB
Q5NIB1.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Francisella tularensis subsp. tularensis SCHU S4	Reviewed_Outgroup	bamB	bamB	Q5NIB1.1		PF13360	COG1520	K17713	Q5NIB1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__		PQQ_2	COG1520	bamB
P54741.2	RecName: Full=Serine/threonine-protein kinase AfsK	Streptomyces coelicolor A3(2)	Reviewed_Outgroup			P54741.2		PF00069;PF13360;PF13360	COG0515	K12132;K11912	P54741.2	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__		Pkinase;PQQ_2;PQQ_2	COG0515	prkC;ppkA
P77774.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Escherichia coli K-12	Reviewed_Outgroup	bamB	bamB	P77774.1		PF13360	COG1520	K17713	P77774.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		PQQ_2	COG1520	bamB
Q63UT0.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Burkholderia pseudomallei K96243	Reviewed_Outgroup	bamB	bamB	Q63UT0.1		PF13360	COG1520	K17713	Q63UT0.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		PQQ_2	COG1520	bamB
G4Q9J6.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Taylorella asinigenitalis MCE3	Reviewed_Outgroup	bamB	bamB	G4Q9J6.1		PF13360	COG1520	K17713	G4Q9J6.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__		PQQ_2	COG1520	bamB
F8GAQ8.1	RecName: Full=Outer membrane protein assembly factor BamB; Flags: Precursor	Francisella salina	Reviewed_Outgroup	bamB	bamB	F8GAQ8.1		PF01011;PF13360	COG1520	K17713	F8GAQ8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Francisellaceae; g__Francisella; s__		PQQ;PQQ_2	COG1520	bamB
