tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
O33434.2	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Paracoccus pantotrophus	Reviewed_Ingroup	soxA	soxA	O33434.2			COG3258	K17222	O33434.2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Paracoccus; s__			COG3258	soxA
Q1W3E4.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c550 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Allochromatium vinosum	Reviewed_Ingroup	soxA	soxA	Q1W3E4.1			COG3258	K17222	Q1W3E4.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__			COG3258	soxA
D3DJG4.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA1; AltName: Full=SoxAX cytochrome complex subunit A1; AltName: Full=Sulfur oxidizing protein A1; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA1; Short=TOMES protein SoxA1; Flags: Precursor	Hydrogenobacter thermophilus TK-6	Reviewed_Ingroup	soxA	soxA	D3DJG4.1			COG3258	K17222	D3DJG4.1	d__Bacteria; p__Aquificota; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__			COG3258	soxA
D3DJG5.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA2; AltName: Full=SoxAX cytochrome complex subunit A2; AltName: Full=Sulfur oxidizing protein A2; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA2; Short=TOMES protein SoxA2; Flags: Precursor	Hydrogenobacter thermophilus TK-6	Reviewed_Ingroup	soxA	soxA	D3DJG5.1			COG3258	K17222	D3DJG5.1	d__Bacteria; p__Aquificota; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__			COG3258	soxA
D7A6E5.2	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Starkeya novella DSM 506	Reviewed_Ingroup	soxA	soxA	D7A6E5.2			COG3258	K17222	D7A6E5.2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__			COG3258	soxA
Q08IS0.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Hydrogenophilus thermoluteolus	Reviewed_Ingroup	soxA	soxA	Q08IS0.1			COG3258	K17222	Q08IS0.1	d__Bacteria; p__Pseudomonadota; c__Hydrogenophilia; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Hydrogenophilus; s__			COG3258	soxA
Q8KDM7.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Chlorobaculum tepidum TLS	Reviewed_Ingroup	soxA	soxA	Q8KDM7.1			COG3258	K17222	Q8KDM7.1	d__Bacteria; p__Chlorobiota; c__Chlorobiia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__			COG3258	soxA
Q8RLX0.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Chlorobaculum thiosulfatiphilum	Reviewed_Ingroup	soxA	soxA	Q8RLX0.1			COG3258	K17222	Q8RLX0.1	d__Bacteria; p__Chlorobiota; c__Chlorobiia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__			COG3258	soxA
Q939U1.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Rhodovulum sulfidophilum	Reviewed_Ingroup	soxA	soxA	Q939U1.1			COG3258	K17222	Q939U1.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Rhodovulum; s__			COG3258	soxA
Q9K4M4.2	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Pseudaminobacter salicylatoxidans	Reviewed_Ingroup	soxA	soxA	Q9K4M4.2			COG3258	K17222	Q9K4M4.2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Pseudaminobacter; s__			COG3258	soxA
Q4FQB7.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Psychrobacter arcticus 273-4	Reviewed_Outgroup	outgroup	outgroup	Q4FQB7.1		PF13442	COG3258	K19713	Q4FQB7.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__		Cytochrome_CBB3	COG3258	tsdA
D3RVD4.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Allochromatium vinosum DSM 180	Reviewed_Outgroup	outgroup	outgroup	D3RVD4.1		PF13442	COG3258	K19713	D3RVD4.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Cytochrome_CBB3	COG3258	tsdA
D5WYQ5.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Thiomonas intermedia K12	Reviewed_Outgroup	outgroup	outgroup	D5WYQ5.1		PF13442	COG3258	K19713	D5WYQ5.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__; g__Thiomonas; s__		Cytochrome_CBB3	COG3258	tsdA
alv___Alvin_2169	soxA; SoxA	Allochromatium vinosum DSM 180	Curated_Ingroup	soxA	soxA	alv___Alvin_2169			COG3258	K17222	alv___Alvin_2169	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__			COG3258	soxA
tbog___LT988_24245	soxA; sulfur oxidation c-type cytochrome SoxA	Thiocapsa bogorovii	Curated_Ingroup	soxA	soxA	tbog___LT988_24245			COG3258	K17222	tbog___LT988_24245	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiocapsa; s__			COG3258	soxA
tvi___Thivi_3803	diheme cytochrome SoxA (sulfur oxidation)	Thiocystis violascens DSM 198	Curated_Ingroup	soxA	soxA	tvi___Thivi_3803			COG3258	K17222	tvi___Thivi_3803	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiocystis; s__			COG3258	soxA
