tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q5LT18.1	RecName: Full=Dimethylsulfonioproprionate lyase DddQ; Short=DMSP lyase	Ruegeria pomeroyi DSS-3	Reviewed_Ingroup	dddQ	dddQ	Q5LT18.1		PF16867	COG1917		Q5LT18.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase	COG1917	
SHI35160.1	dimethylsulfoniopropionate lyase DddQ [Ruegeria lacuscaerulensis ITI-1157]	Ruegeria lacuscaerulensis ITI-1157	Reviewed_Ingroup	dddQ	dddQ	SHI35160.1		PF16867			SHI35160.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase		
sil___SPO1596	dddQ; DMSP lyase	Ruegeria pomeroyi DSS-3	Curated_Ingroup	dddQ	dddQ	sil___SPO1596		PF16867	COG1917		sil___SPO1596	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase	COG1917	
cact___HZ995_05735	cupin domain-containing protein	Cognatishimia activa	Curated_Ingroup	dddQ	dddQ	cact___HZ995_05735		PF16867	COG1917		cact___HZ995_05735	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cognatishimia; s__		DMSP_lyase	COG1917	
suli___C1J05_08180	hypothetical protein	Sulfitobacter sp. JL08	Curated_Ingroup	dddQ	dddQ	suli___C1J05_08180		PF16867	COG0662		suli___C1J05_08180	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sulfitobacter; s__		DMSP_lyase	COG0662	
oct___FTO60_13560	cupin domain-containing protein	Octadecabacter sp. SW4	Curated_Ingroup	dddQ	dddQ	oct___FTO60_13560		PF16867	COG1917		oct___FTO60_13560	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Octadecabacter; s__		DMSP_lyase	COG1917	
rcon___K3740_13665	cupin domain-containing protein	Ruegeria conchae	Curated_Ingroup	dddQ	dddQ	rcon___K3740_13665		PF16867	COG1917		rcon___K3740_13665	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase	COG1917	
rid___RIdsm_02178	Cupin domain protein	Roseovarius indicus	Curated_Ingroup	dddQ	dddQ	rid___RIdsm_02178		PF16867	COG0662		rid___RIdsm_02178	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		DMSP_lyase	COG0662	
rom___EI983_11255	cupin domain-containing protein	Roseovarius faecimaris	Curated_Ingroup	dddQ	dddQ	rom___EI983_11255		PF16867	COG0662		rom___EI983_11255	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		DMSP_lyase	COG0662	
rua___D1823_12780	hypothetical protein	Ruegeria sp. AD91A	Curated_Ingroup	dddQ	dddQ	rua___D1823_12780		PF16867			rua___D1823_12780	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase		
rut___FIU92_00700	hypothetical protein	Ruegeria sp. THAF33	Curated_Ingroup	dddQ	dddQ	rut___FIU92_00700		PF16867			rut___FIU92_00700	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		DMSP_lyase		
laqu___R2C4_09100	hypothetical protein	Leisingera aquaemixtae	Curated_Ingroup	dddQ	dddQ	laqu___R2C4_09100		PF16867			laqu___R2C4_09100	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase		
lcae___K3721_03865	cupin domain-containing protein	Leisingera caerulea	Curated_Ingroup	dddQ	dddQ	lcae___K3721_03865		PF16867	COG1917		lcae___K3721_03865	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase	COG1917	
ptp___RCA23_c11720	putative bacterial extracellular solute binding protein, family 3	Planktomarina temperata RCA23	Curated_Ingroup	dddQ	dddQ	ptp___RCA23_c11720		PF16867	COG1791		ptp___RCA23_c11720	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__		DMSP_lyase	COG1791	
lej___ETW24_04580	hypothetical protein	Leisingera sp. NJS204	Curated_Ingroup	dddQ	dddQ	lej___ETW24_04580		PF16867			lej___ETW24_04580	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase		
lev___ETW23_15620	hypothetical protein	Leisingera sp. NJS201	Curated_Ingroup	dddQ	dddQ	lev___ETW23_15620		PF16867			lev___ETW23_15620	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase		
lmd___METH_03725	hypothetical protein	Leisingera methylohalidivorans DSM 14336	Curated_Ingroup	dddQ	dddQ	lmd___METH_03725		PF16867			lmd___METH_03725	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase		
rid___RIdsm_02177	hypothetical protein	Roseovarius indicus	Curated_Ingroup	dddQ	dddQ	rid___RIdsm_02177		PF16867	COG0757		rid___RIdsm_02177	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		DMSP_lyase	COG0757	
rom___EI983_11260	hypothetical protein	Roseovarius faecimaris	Curated_Ingroup	dddQ	dddQ	rom___EI983_11260		PF16867			rom___EI983_11260	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		DMSP_lyase		
apm___HIMB5_00000220	cupin domain-containing protein	alpha proteobacterium HIMB5	Curated_Ingroup	dddQ	dddQ	apm___HIMB5_00000220		PF16867	COG0662		apm___HIMB5_00000220	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__; s__		DMSP_lyase	COG0662	
lej___ETW24_04560	hypothetical protein	Leisingera sp. NJS204	Curated_Ingroup	dddQ	dddQ	lej___ETW24_04560		PF16867	COG1917		lej___ETW24_04560	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase	COG1917	
lev___ETW23_15640	hypothetical protein	Leisingera sp. NJS201	Curated_Ingroup	dddQ	dddQ	lev___ETW23_15640		PF16867	COG1917		lev___ETW23_15640	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		DMSP_lyase	COG1917	
aak___AA2016_3049	Transcriptional regulator	Aminobacter aminovorans	Curated_Outgroup	outgroup	outgroup	aak___AA2016_3049		PF16867			aak___AA2016_3049	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Aminobacter; s__		DMSP_lyase		
mam___Mesau_03675	hypothetical protein	Mesorhizobium australicum WSM2073	Curated_Outgroup	outgroup	outgroup	mam___Mesau_03675		PF16867			mam___Mesau_03675	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
merd___EB233_17480	transcriptional regulator	Mesorhizobium erdmanii	Curated_Outgroup	outgroup	outgroup	merd___EB233_17480		PF16867			merd___EB233_17480	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
mhua___MCHK_2845	transcriptional regulator	Mesorhizobium huakuii 7653R	Curated_Outgroup	outgroup	outgroup	mhua___MCHK_2845		PF16867			mhua___MCHK_2845	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
mjr___EB229_20100	transcriptional regulator	Mesorhizobium jarvisii	Curated_Outgroup	outgroup	outgroup	mjr___EB229_20100		PF16867			mjr___EB229_20100	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
mlo___mll1199	unknown protein	Mesorhizobium japonicum MAFF 303099	Curated_Outgroup	outgroup	outgroup	mlo___mll1199		PF16867			mlo___mll1199	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
mop___Mesop_3887	conserved hypothetical protein	Mesorhizobium opportunistum WSM2075	Curated_Outgroup	outgroup	outgroup	mop___Mesop_3887		PF16867			mop___Mesop_3887	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DMSP_lyase		
