tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q7MSJ8.1	RecName: Full=Dissimilatory sulfite reductase MccA; Flags: Precursor	Wolinella succinogenes DSM 1740	Reviewed_Ingroup	mccA	mccA	Q7MSJ8.1					Q7MSJ8.1	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__				
Q8EJI6.2	RecName: Full=Dissimilatory sulfite reductase SirA; Flags: Precursor	Shewanella oneidensis MR-1	Reviewed_Ingroup	mccA	mccA	Q8EJI6.2					Q8EJI6.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
WP_021995729.1	cytochrome c3 family protein [Sutterella wadsworthensis]	Sutterella wadsworthensis	Reviewed_Outgroup	outgroup	outgroup	WP_021995729.1					WP_021995729.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__				
WP_152157956.1	cytochrome c3 family protein [Sutterella seckii]	Sutterella seckii	Reviewed_Outgroup	outgroup	outgroup	WP_152157956.1					WP_152157956.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__				
WP_173020543.1	cytochrome C [Parasutterella excrementihominis]	Parasutterella excrementihominis	Reviewed_Outgroup	outgroup	outgroup	WP_173020543.1					WP_173020543.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella; s__				
WP_066594242.1	cytochrome c3 family protein [Turicimonas muris]	Turicimonas muris	Reviewed_Outgroup	outgroup	outgroup	WP_066594242.1					WP_066594242.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Turicimonas; s__				
WP_008812372.1	cytochrome c3 family protein [Parasutterella excrementihominis]	Parasutterella excrementihominis	Reviewed_Outgroup	outgroup	outgroup	WP_008812372.1					WP_008812372.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella; s__				
WP_066594464.1	cytochrome c3 family protein [Turicimonas muris]	Turicimonas muris	Reviewed_Outgroup	outgroup	outgroup	WP_066594464.1			COG3303		WP_066594464.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Turicimonas; s__			COG3303	
wsu___WS0379	hypothetical protein	Wolinella succinogenes DSM 1740	Curated_Ingroup	mccA	mccA	wsu___WS0379					wsu___WS0379	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__				
sba___Sulba_0770	hypothetical protein	Sulfurospirillum barnesii SES-3	Curated_Ingroup	mccA	mccA	sba___Sulba_0770					sba___Sulba_0770	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Sulfurospirillaceae; g__Sulfurospirillum; s__				
shal___SHALO_2625	octahem cytochrome c sulphite reductase MccA	Sulfurospirillum halorespirans DSM 13726	Curated_Ingroup	mccA	mccA	shal___SHALO_2625					shal___SHALO_2625	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Sulfurospirillaceae; g__Sulfurospirillum; s__				
suls___Sdiek1_1079	Dissimilatory sulfite reductase MccA	Sulfurospirillum sp. SL2-1	Curated_Ingroup	mccA	mccA	suls___Sdiek1_1079					suls___Sdiek1_1079	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Sulfurospirillaceae; g__Sulfurospirillum; s__				
caj___CIG1485E_0988	putative cytochrome c	Campylobacter iguaniorum	Curated_Ingroup	mccA	mccA	caj___CIG1485E_0988		PF13435			caj___CIG1485E_0988	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__		Cytochrome_C554		
cco___CCC13826_1871	cytochrome c family protein	Campylobacter concisus 13826	Curated_Ingroup	mccA	mccA	cco___CCC13826_1871					cco___CCC13826_1871	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__				
cgra___CGRAC_2021	cytochrome c family protein	Campylobacter gracilis	Curated_Ingroup	mccA	mccA	cgra___CGRAC_2021					cgra___CGRAC_2021	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__				
crx___CRECT_0041	cytochrome c family protein (c3, c7, c554 domains)	Campylobacter rectus	Curated_Ingroup	mccA	mccA	crx___CRECT_0041					crx___CRECT_0041	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__				
amol___AMOL_1976	putative cytochrome c	Malaciobacter molluscorum LMG 25693	Curated_Ingroup	mccA	mccA	amol___AMOL_1976		PF13435			amol___AMOL_1976	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Malaciobacter; s__		Cytochrome_C554		
hebr___AEBR_2114	putative cytochrome c	Halarcobacter ebronensis	Curated_Ingroup	mccA	mccA	hebr___AEBR_2114		PF13435			hebr___AEBR_2114	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter; s__		Cytochrome_C554		
sbj___CF168_18385	cytochrome C	Shewanella bicestrii	Curated_Ingroup	mccA	mccA	sbj___CF168_18385		PF13435			sbj___CF168_18385	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
sbn___Sbal195_4002	cytochrome c, putative	Shewanella baltica OS195	Curated_Ingroup	mccA	mccA	sbn___Sbal195_4002		PF13435			sbn___Sbal195_4002	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
scaa___TUM17387_05060	sirA; dissimilatory sulfite reductase SirA	Shewanella carassii	Curated_Ingroup	mccA	mccA	scaa___TUM17387_05060		PF13435			scaa___TUM17387_05060	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
skh___STH12_04133	hypothetical protein	Shewanella khirikhana	Curated_Ingroup	mccA	mccA	skh___STH12_04133		PF13435	COG0698		skh___STH12_04133	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554	COG0698	
sbk___SHEWBE_0084	sirA; Dissimilatory sulfite reductase SirA	Shewanella benthica	Curated_Ingroup	mccA	mccA	sbk___SHEWBE_0084		PF13435			sbk___SHEWBE_0084	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
slo___Shew_0348	cytochrome c, putative	Shewanella loihica PV-4	Curated_Ingroup	mccA	mccA	slo___Shew_0348		PF13435			slo___Shew_0348	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
swp___swp_4657	Cytochrome c, putative	Shewanella piezotolerans WP3	Curated_Ingroup	mccA	mccA	swp___swp_4657		PF13435			swp___swp_4657	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Cytochrome_C554		
