tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
D5WYQ5.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Thiomonas intermedia K12	Reviewed_Ingroup	tsdA	tsdA	D5WYQ5.1		PF13442	COG3258	K19713	D5WYQ5.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Thiomonas; s__		Cytochrome_CBB3	COG3258	tsdA
A4VND8.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Pseudomonas stutzeri A1501	Reviewed_Ingroup	tsdA	tsdA	A4VND8.1		PF13442	COG3258	K19713	A4VND8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__		Cytochrome_CBB3	COG3258	tsdA
Q4FQB7.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Psychrobacter arcticus 273-4	Reviewed_Ingroup	tsdA	tsdA	Q4FQB7.1		PF13442	COG3258	K19713	Q4FQB7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__		Cytochrome_CBB3	COG3258	tsdA
QFI62081.1	cytochrome C [Qipengyuania flava]	Qipengyuania flava	Reviewed_Ingroup	tsdA	tsdA	QFI62081.1		PF13442	COG3258	K19713	QFI62081.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Qipengyuania; s__		Cytochrome_CBB3	COG3258	tsdA
NP_906283.1	CYTA protein precursor [Wolinella succinogenes DSM 1740]	Wolinella succinogenes DSM 1740	Reviewed_Ingroup	tsdA	tsdA	NP_906283.1		PF13442	COG3258	K19713	NP_906283.1	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__		Cytochrome_CBB3	COG3258	tsdA
D3RVD4.1	RecName: Full=Thiosulfate dehydrogenase; AltName: Full=Tetrathionate synthase; Flags: Precursor	Allochromatium vinosum DSM 180	Reviewed_Ingroup	tsdA	tsdA	D3RVD4.1		PF13442	COG3258	K19713	D3RVD4.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Cytochrome_CBB3	COG3258	tsdA
Q08IS0.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Hydrogenophilus thermoluteolus	Reviewed_Outgroup			Q08IS0.1			COG3258	K17222	Q08IS0.1	d__Bacteria; p__Proteobacteria; c__Hydrogenophilalia; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Hydrogenophilus; s__			COG3258	soxA
Q9K4M4.2	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Pseudaminobacter salicylatoxidans	Reviewed_Outgroup	outgroup	outgroup	Q9K4M4.2			COG3258	K17222	Q9K4M4.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Pseudaminobacter; s__			COG3258	soxA
D3DJG4.1	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit diheme; AltName: Full=Protein SoxA1; AltName: Full=SoxAX cytochrome complex subunit A1; AltName: Full=Sulfur oxidizing protein A1; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA1; Short=TOMES protein SoxA1; Flags: Precursor	Hydrogenobacter thermophilus TK-6	Reviewed_Outgroup			D3DJG4.1			COG3258	K17222	D3DJG4.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__			COG3258	soxA
D7A6E5.2	RecName: Full=L-cysteine S-thiosulfotransferase subunit SoxA; AltName: Full=Cytochrome c551 subunit monoheme; AltName: Full=Protein SoxA; AltName: Full=SoxAX cytochrome complex subunit A; AltName: Full=Sulfur oxidizing protein A; AltName: Full=Thiosulfate-oxidizing multienzyme system protein SoxA; Short=TOMES protein SoxA; Flags: Precursor	Starkeya novella DSM 506	Reviewed_Outgroup			D7A6E5.2			COG3258	K17222	D7A6E5.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__			COG3258	soxA
