tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_181210400.1	acetate--CoA ligase family protein [Psychrobacter sp. D2]	Psychrobacter sp. D2	Reviewed_Ingroup	dddX	dddX	WP_181210400.1		PF13380;PF13607;PF13549	COG1042		WP_181210400.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	
WP_084332639.1	acetate--CoA ligase family protein [Marinobacterium jannaschii]	Marinobacterium jannaschii	Reviewed_Ingroup	dddX_1	dddX_1	WP_084332639.1		PF13380;PF13607;PF13549	COG1042	K24012	WP_084332639.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinobacterium; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	acdAB
WP_109384856.1	MULTISPECIES: acetate--CoA ligase family protein [Roseobacteraceae]	Roseobacteraceae	Reviewed_Ingroup	dddX_1	dddX_1	WP_109384856.1		PF13380;PF13607;PF13549	COG1042		WP_109384856.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__; g__; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	
WP_068035783.1	acetate--CoA ligase family protein [Psychrobacter sp. P11G5]	Psychrobacter sp. P11G5	Reviewed_Ingroup	dddX	dddX	WP_068035783.1		PF13380;PF13607;PF13549	COG1042		WP_068035783.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Psychrobacter; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	
WP_081242855.1	acetate--CoA ligase family protein [Sporosarcina sp. P33]	Sporosarcina sp. P33	Reviewed_Ingroup	dddX	dddX	WP_081242855.1		PF13380;PF13607;PF13549	COG1042		WP_081242855.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	
ACB06958.1	Acyl-CoA synthetase (NDP forming) [Candidatus Korarchaeum cryptofilum OPF8]	Candidatus Korarchaeum cryptofilum OPF8	Reviewed_Outgroup	outgroup	outgroup	ACB06958.1		PF13380;PF13607	COG1042	K01905	ACB06958.1	d__Archaea; p__Candidatus Korarchaeota; c__; o__; f__; g__Candidatus Korarchaeum; s__		CoA_binding_2;Succ_CoA_lig	COG1042	acdA
O29057.1	RecName: Full=Acetate--CoA ligase [ADP-forming] I; AltName: Full=ADP-forming acetyl coenzyme A synthetase I; Short=ACS I	Archaeoglobus fulgidus DSM 4304	Reviewed_Outgroup	outgroup	outgroup	O29057.1		PF13380;PF13607;PF13549	COG1042	K24012	O29057.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	acdAB
Q58010.1	RecName: Full=Acetate--CoA ligase [ADP-forming]; AltName: Full=ADP-forming acetyl coenzyme A synthetase; Short=ACS	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58010.1		PF13380;PF13607;PF13549	COG1042	K24012	Q58010.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	acdAB
A0A2P1BT06.1	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase	unidentified prokaryotic organism	Reviewed_Outgroup	outgroup	outgroup	A0A2P1BT06.1		PF13380;PF13607;PF13549	COG1042	K24012	A0A2P1BT06.1	d__Bacteria; p__; c__; o__; f__; g__; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	acdAB
A9A1Y1.1	RecName: Full=4-hydroxybutyrate--CoA ligase [ADP-forming]; AltName: Full=4-hydroxybutyryl-coenzyme A synthetase [ADP-forming]; Short=4-hydroxybutyryl-CoA synthetase [ADP-forming]	Nitrosopumilus maritimus SCM1	Reviewed_Outgroup	outgroup	outgroup	A9A1Y1.1		PF13380;PF13607;PF13549	COG1042	K18593;K24012	A9A1Y1.1	d__Archaea; p__Thaumarchaeota; c__; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__		CoA_binding_2;Succ_CoA_lig;ATP-grasp_5	COG1042	E6.2.1.56;acdAB
