tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q9RB52	Adenylylsulfate reductase membrane anchor (Putative adenylylsulfate reductase membrane anchor)	Allochromatium vinosum	Reviewed_Ingroup	aprM	aprM	Q9RB52					Q9RB52	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__				
Q3SGL3	Adenylyl-sulfate reductase	Thiobacillus denitrificans ATCC 25259	Reviewed_Ingroup	aprM	aprM	Q3SGL3					Q3SGL3	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__				
P37463.2	RecName: Full=Citrate utilization protein B	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	outgroup	outgroup	P37463.2			COG4656	K13795	P37463.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__			COG4656	citB
P05853.1	RecName: Full=Citrate utilization protein B	Escherichia coli	Reviewed_Outgroup	outgroup	outgroup	P05853.1			COG0247	K13795	P05853.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__			COG0247	citB
alv___Alvin_1119	conserved hypothetical protein	Allochromatium vinosum DSM 180	Curated_Ingroup	aprM	aprM	alv___Alvin_1119					alv___Alvin_1119	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__				
atep___Atep_15370	hypothetical protein	Allochromatium tepidum	Curated_Ingroup	aprM	aprM	atep___Atep_15370					atep___Atep_15370	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__				
ttp___E6P07_06900	adenylyl-sulfate reductase	Thermochromatium tepidum ATCC 43061	Curated_Ingroup	aprM	aprM	ttp___E6P07_06900					ttp___E6P07_06900	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thermochromatium; s__				
tmb___Thimo_1221	hypothetical protein	Thioflavicoccus mobilis 8321	Curated_Ingroup	aprM	aprM	tmb___Thimo_1221					tmb___Thimo_1221	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thioflavicoccus; s__				
tbog___LT988_00220	adenylyl-sulfate reductase	Thiocapsa bogorovii	Curated_Ingroup	aprM	aprM	tbog___LT988_00220					tbog___LT988_00220	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiocapsa; s__				
thim___KFB96_04240	adenylyl-sulfate reductase	Thiocapsa sp.	Curated_Ingroup	aprM	aprM	thim___KFB96_04240					thim___KFB96_04240	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiocapsa; s__				
