tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
CAA70828.1	terminal oxidase subunit II [Acidianus ambivalens]	Acidianus ambivalens	Reviewed_Ingroup	doxA	doxA	CAA70828.1		PF07680		K16936	CAA70828.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxA		doxA
NP_377838.1	hypothetical protein ST1856 [Sulfolobus tokodaii str. 7]	Sulfurisphaera tokodaii str. 7	Reviewed_Ingroup	doxA	doxA	NP_377838.1		PF07680		K16936	NP_377838.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfurisphaera; s__		DoxA		doxA
NP_343148.1	terminal quinol oxidase subunit II (doxA) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxA	doxA	NP_343148.1		PF07680		K16936	NP_343148.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxA		doxA
CAC86935.1	aa3-type terminal oxidase [Acidianus ambivalens]	Acidianus ambivalens	Reviewed_Ingroup	doxA	doxA	CAC86935.1		PF07680		K16936	CAC86935.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxA		doxA
NP_343281.1	terminal quinol oxidase subunit II, (doxA-like) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxA	doxA	NP_343281.1		PF07680		K16936	NP_343281.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxA		doxA
WP_051984759.1	quinol oxidase [Acidithiobacillus ferrivorans]	Acidithiobacillus ferrivorans	Reviewed_Outgroup	outgroup	outgroup	WP_051984759.1		PF04173;PF07680	COG2259	K05908	WP_051984759.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
NP_809428.1	terminal quinol oxidase subunit [Bacteroides thetaiotaomicron VPI-5482]	Bacteroides thetaiotaomicron VPI-5482	Reviewed_Outgroup	outgroup	outgroup	NP_809428.1		PF04173;PF07680	COG2259	K05908	NP_809428.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__		DoxD;DoxA	COG2259	doxDA
aamb___D1866_07860	Aa3-type terminal oxidase	Acidianus ambivalens	Curated_Ingroup	doxA	doxA	aamb___D1866_07860		PF07680		K16936	aamb___D1866_07860	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxA		doxA
acih___HS5_15220	hypothetical protein	Acidianus sp. HS-5	Curated_Ingroup	doxA	doxA	acih___HS5_15220		PF07680		K16936	acih___HS5_15220	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxA		doxA
aho___Ahos_0239	thiosulphate-quinone oxidoreductase (TQO) small subunit DoxA	Acidianus hospitalis W1	Curated_Ingroup	doxA	doxA	aho___Ahos_0239		PF07680		K16936	aho___Ahos_0239	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxA		doxA
