tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADC62201.1	DsrP [Allochromatium vinosum DSM 180]	Allochromatium vinosum DSM 180	Reviewed_Ingroup	Oxidative_dsrP	Oxidative_dsrP	ADC62201.1		PF03916	COG5557		ADC62201.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		NrfD	COG5557	
SFW35666.1	putative sulfite reductase-associated electron transfer protein DsrP [Desulfovibrio desulfuricans]	Desulfovibrio desulfuricans	Reviewed_Ingroup	Reductive_dsrP	Reductive_dsrP	SFW35666.1		PF03916	COG5557		SFW35666.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		NrfD	COG5557	
O29750.1	RecName: Full=Hdr-like menaquinol oxidoreductase integral membrane subunit; Short=Hme subunit B	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	Archaeoglobus_dsrP	Archaeoglobus_dsrP	O29750.1		PF03916	COG5557		O29750.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		NrfD	COG5557	
Q9HR72.1	RecName: Full=Putative dimethyl sulfoxide reductase membrane subunit C; Short=DMSO reductase subunit C	Halobacterium salinarum NRC-1	Reviewed_Outgroup			Q9HR72.1		PF03916	COG5557	K00185	Q9HR72.1	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__		NrfD	COG5557	dmsC
P31077.1	RecName: Full=Polysulfide reductase chain C; AltName: Full=Sulfur reductase chain C	Wolinella succinogenes DSM 1740	Reviewed_Outgroup	outgroup	outgroup	P31077.1		PF03916	COG3301	K16294	P31077.1	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__		NrfD	COG3301	psrC
P32709.2	RecName: Full=Protein NrfD	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P32709.2		PF03916	COG3301	K04015	P32709.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NrfD	COG3301	nrfD
Q72E86.1	RecName: Full=Menaquinone reductase, integral membrane subunit; AltName: Full=Quinone reductase complex subunit D; AltName: Full=Type I cytochrome c3:menaquinone oxidoreductase subunit D	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Outgroup	outgroup	outgroup	Q72E86.1		PF03916	COG5557	K23303	Q72E86.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		NrfD	COG5557	qrcD
P33390.1	RecName: Full=Protein DVU_0534; AltName: Full=HMC operon ORF 3	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Outgroup	outgroup	outgroup	P33390.1		PF03916	COG5557		P33390.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		NrfD	COG5557	
aana___AANAER_1198	ttrC; tetrathionate reductase TtrABC, subunit C	Halarcobacter anaerophilus	Curated_Outgroup	outgroup	outgroup	aana___AANAER_1198		PF03916	COG5557	K08359	aana___AANAER_1198	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter; s__		NrfD	COG5557	ttrC
abac___LuPra_00247	cytochrome c nitrite reductase, NrfD subunit	Luteitalea pratensis	Curated_Outgroup			abac___LuPra_00247		PF03916	COG5557		abac___LuPra_00247	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		NrfD	COG5557	
