tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_012970471.1	(Fe-S)-binding protein [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	Oxidative_dsrK	Oxidative_dsrK	WP_012970471.1		PF13183	COG0247		WP_012970471.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_8	COG0247	
WP_192112732.1	[DsrC]-trisulfide reductase DsrK [Desulfovibrio desulfuricans]	Desulfovibrio desulfuricans	Reviewed_Ingroup	Reductive_dsrK	Reductive_dsrK	WP_192112732.1		PF13183;PF02754	COG0247		WP_192112732.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_8;CCG	COG0247	
O29748.1	RecName: Full=Hdr-like menaquinol oxidoreductase iron-sulfur subunit 2; Short=Hme subunit D	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	Reductive_dsrK	Reductive_dsrK	O29748.1		PF13183;PF02754	COG0247	K18501	O29748.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_8;CCG	COG0247	hmeD
P84622.2	RecName: Full=Hdr-like menaquinol oxidoreductase iron-sulfur subunit; Short=Hme subunit D	Archaeoglobus profundus DSM 5631	Reviewed_Ingroup	Reductive_dsrK	Reductive_dsrK	P84622.2		PF13183;PF02754	COG0247	K18501	P84622.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_8;CCG	COG0247	hmeD
WP_010937573.1	MULTISPECIES: (Fe-S)-binding protein [Desulfovibrio]	Desulfovibrio	Reviewed_Outgroup	tmcB	tmcB	WP_010937573.1		PF13183;PF02754	COG0247		WP_010937573.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__		Fer4_8;CCG	COG0247	
tig___THII_0618	electron transport protein DsrK	Thioploca ingrica	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	tig___THII_0618		PF13183	COG0247		tig___THII_0618	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thioploca; s__		Fer4_8	COG0247	
tni___TVNIR_0853	hmeD_[H]; Sulfite reduction-associated complex DsrMKJOP protein DsrK (HmeD)	Thioalkalivibrio nitratireducens DSM 14787	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	tni___TVNIR_0853		PF13534	COG0247		tni___TVNIR_0853	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Fer4_17	COG0247	
tsy___THSYN_22510	reductase	Candidatus Thiodictyon syntrophicum	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	tsy___THSYN_22510		PF13183	COG0247		tsy___THSYN_22510	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiodictyon; s__		Fer4_8	COG0247	
enm___EBS_1777	dsrK; intracellular sulfur oxidation protein DsrK	endosymbiont of unidentified scaly snail isolate Monju	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	enm___EBS_1777		PF13183;PF02754	COG0247		enm___EBS_1777	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__		Fer4_8;CCG	COG0247	
magq___MGMAQ_2117	dsrK; Hdr-like menaquinol oxidoreductase iron-sulfur subunit 2	Magnetospira sp. QH-2	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	magq___MGMAQ_2117		PF13183;PF02754	COG0247		magq___MGMAQ_2117	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Magnetospira; s__		Fer4_8;CCG	COG0247	
blep___AL038_07455	(Fe-S)-binding protein	Beggiatoa leptomitoformis	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	blep___AL038_07455		PF13183;PF02754	COG0247		blep___AL038_07455	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Beggiatoa; s__		Fer4_8;CCG	COG0247	
sva___SVA_1961	reductase	Sulfurifustis variabilis	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	sva___SVA_1961		PF13183;PF02754	COG0247		sva___SVA_1961	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Sulfurifustis; s__		Fer4_8;CCG	COG0247	
ddz___DSYM_11170	reductase	Candidatus Desulfobacillus denitrificans	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	ddz___DSYM_11170		PF13534;PF02754	COG0247		ddz___DSYM_11170	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__Candidatus Desulfobacillus; s__		Fer4_17;CCG	COG0247	
this___HZT40_16470	(Fe-S)-binding protein	Candidatus Thiothrix singaporensis	Curated_Ingroup	Oxidative_dsrK	Oxidative_dsrK	this___HZT40_16470		PF13183	COG0247		this___HZT40_16470	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thiothrix; s__		Fer4_8	COG0247	
