tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P32141.1	RecName: Full=Sulfofructosephosphate aldolase; Short=SFP aldolase	Escherichia coli K-12	Reviewed_Ingroup	yihT	yihT	P32141.1		PF01791	COG3684	K01671	P32141.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		DeoC	COG3684	yihT
acij___JS278_00498	yihT; Sulfofructosephosphate aldolase	Acidipropionibacterium virtanenii	Curated_Outgroup			acij___JS278_00498		PF01791	COG3684	K01671	acij___JS278_00498	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Acidipropionibacterium; s__		DeoC	COG3684	yihT
adc___FOC79_04810	lacD; tagatose-bisphosphate aldolase	Abiotrophia defectiva	Curated_Outgroup	outgroup	outgroup	adc___FOC79_04810		PF01791	COG3684	K01635	adc___FOC79_04810	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__		DeoC	COG3684	lacD
agf___ET445_08770	hypothetical protein	Agromyces protaetiae	Curated_Outgroup			agf___ET445_08770		PF01791	COG3684	K01671	agf___ET445_08770	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Microbacteriaceae; g__Agromyces; s__		DeoC	COG3684	yihT
agv___OJF2_05080	lacD; Tagatose 1,6-diphosphate aldolase	Aquisphaera giovannonii	Curated_Outgroup	outgroup	outgroup	agv___OJF2_05080		PF01791	COG3684	K01635	agv___OJF2_05080	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera; s__		DeoC	COG3684	lacD
ahn___NCTC12129_04954	yihT; aldolase yihT	Atlantibacter hermannii	Curated_Outgroup			ahn___NCTC12129_04954		PF01791	COG3684	K01671	ahn___NCTC12129_04954	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter; s__		DeoC	COG3684	yihT
apn___Asphe3_09410	tagatose-1,6-bisphosphate aldolase	Pseudarthrobacter phenanthrenivorans Sphe3	Curated_Outgroup			apn___Asphe3_09410		PF01791	COG3684	K01671	apn___Asphe3_09410	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter; s__		DeoC	COG3684	yihT
ara___Arad_9621	tagatose-1,6-bisphosphate aldolase	Agrobacterium radiobacter K84	Curated_Outgroup	outgroup	outgroup	ara___Arad_9621		PF01791	COG3684	K01671	ara___Arad_9621	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		DeoC	COG3684	yihT
are___AL755_17950	tagatose-bisphosphate aldolase	Arthrobacter sp. ERGS1:01	Curated_Outgroup	outgroup	outgroup	are___AL755_17950		PF01791	COG3684	K01671	are___AL755_17950	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		DeoC	COG3684	yihT
arm___ART_3392	putative tagatose-1,6-bisphosphate aldolase	Arthrobacter sp. PAMC 25486	Curated_Outgroup	outgroup	outgroup	arm___ART_3392		PF01791	COG3684	K01671	arm___ART_3392	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		DeoC	COG3684	yihT
