tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_011864535.1	FAD-dependent oxidoreductase [Shewanella loihica]	Shewanella loihica	Reviewed_Ingroup	npsr	npsr	WP_011864535.1		PF07992;PF02852;PF00581	COG0446		WP_011864535.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
EAN75345.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase:Rhodanese-like:Pyridine nucleotide-disulphide oxidoreductase dimerisation region [Shewanella frigidimarina NCIMB 400]	Shewanella frigidimarina NCIMB 400	Reviewed_Ingroup	npsr	npsr	EAN75345.1		PF07992;PF02852;PF00581	COG0446		EAN75345.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
NP_843296.1	CoA-disulfide reductase [Bacillus anthracis str. Ames]	Bacillus anthracis str. Ames	Reviewed_Ingroup	npsr	npsr	NP_843296.1		PF07992;PF02852;PF00581	COG0446	K08255	NP_843296.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	cdr
A5IRE8.1	RecName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR	Staphylococcus aureus subsp. aureus JH9	Reviewed_Outgroup	CoARD	CoARD	A5IRE8.1		PF07992;PF02852	COG0446	K08255	A5IRE8.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	cdr
P37061.1	RecName: Full=NADH oxidase; Short=NOXase	Enterococcus faecalis V583	Reviewed_Outgroup	outgroup	outgroup	P37061.1		PF07992;PF02852	COG0446	K05910	P37061.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	npr
P37062.2	RecName: Full=NADH peroxidase; Short=NPXase; Short=Npx	Enterococcus faecalis V583	Reviewed_Outgroup	outgroup	outgroup	P37062.2		PF07992;PF02852	COG0446	K05910	P37062.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	npr
Q5XC60.1	RecName: Full=Probable NADH oxidase; Short=NOXase	Streptococcus pyogenes MGAS10394	Reviewed_Outgroup	outgroup	outgroup	Q5XC60.1		PF07992;PF02852	COG0446		Q5XC60.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
A2RIB7.1	RecName: Full=NADH oxidase; Short=NOXase	Lactococcus lactis subsp. cremoris MG1363	Reviewed_Outgroup	outgroup	outgroup	A2RIB7.1		PF07992;PF02852	COG0446		A2RIB7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
P75389.1	RecName: Full=Probable NADH oxidase; Short=NOXase	Mycoplasma pneumoniae M129	Reviewed_Outgroup	outgroup	outgroup	P75389.1		PF07992;PF02852	COG0446		P75389.1	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	
Q58065.2	RecName: Full=Putative NADH oxidase; Short=NOXase	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup			Q58065.2		PF07992;PF02852	COG0446	K17870	Q58065.2	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	nox1
Q2YWW1.1	RecName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR	Staphylococcus aureus RF122	Reviewed_Outgroup	CoARD	CoARD	Q2YWW1.1		PF07992;PF02852	COG0446	K08255	Q2YWW1.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	cdr
Q5JFZ8	NADH oxidase	Thermococcus kodakarensis KOD1	Reviewed_Outgroup			Q5JFZ8		PF07992;PF02852	COG0446	K17870	Q5JFZ8	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	nox1
WP_010877907.1	FAD-dependent oxidoreductase [Archaeoglobus fulgidus]	Archaeoglobus fulgidus	Reviewed_Outgroup			WP_010877907.1		PF07992;PF02852;PF00581	COG0446	K18367;K17870	WP_010877907.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	CoADR;nox1
O58308.1	RecName: Full=NAD(P)H coenzyme A polysulfide/persulfide reductase; AltName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR; AltName: Full=Polysulfide reductase	Pyrococcus horikoshii OT3	Reviewed_Outgroup	nsr	nsr	O58308.1		PF07992;PF02852	COG0446	K18367	O58308.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q5JGP4.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR; AltName: Full=NAD(P)H oxidase (H2O-forming); Short=NOX	Thermococcus kodakarensis KOD1	Reviewed_Outgroup	nsr	nsr	Q5JGP4.1		PF07992;PF02852	COG0446	K18367	Q5JGP4.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q8U1M0.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR; AltName: Full=Coenzyme A disulfide reductase; Short=CoA-disulfide reductase; Short=CoADR; AltName: Full=NAD(P)H oxidase; Short=NOX	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup	nsr	nsr	Q8U1M0.1		PF07992;PF02852	COG0446	K18367	Q8U1M0.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
Q9UYU5.1	RecName: Full=NAD(P)H sulfur oxidoreductase (CoA-dependent); Short=NSR	Pyrococcus abyssi GE5	Reviewed_Outgroup	nsr	nsr	Q9UYU5.1		PF07992;PF02852	COG0446	K18367	Q9UYU5.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Pyr_redox_2;Pyr_redox_dim	COG0446	CoADR
bah___BAMEG_3784	pyridine nucleotide-disulfide oxidoreductase, class I	Bacillus anthracis str. CDC 684	Curated_Ingroup	npsr	npsr	bah___BAMEG_3784		PF07992;PF02852;PF00581	COG0446	K08255	bah___BAMEG_3784	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	cdr
gjf___M493_10640	CoA-disulfide reductase	Geobacillus genomosp. 3	Curated_Ingroup	npsr	npsr	gjf___M493_10640		PF07992;PF02852;PF00581	COG0446		gjf___M493_10640	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
prd___F7984_05710	cdr; CoA-disulfide reductase	Pradoshia sp. D12	Curated_Ingroup	npsr	npsr	prd___F7984_05710		PF07992;PF02852;PF00581	COG0446		prd___F7984_05710	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Pradoshia; s__		Pyr_redox_2;Pyr_redox_dim;Rhodanese	COG0446	
