tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P26474.1	RecName: Full=Anaerobic sulfite reductase subunit A; AltName: Full=Anaerobic sulfite reductase iron-sulfur subunit	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	asrA	asrA	P26474.1		PF17179	COG0247	K16950	P26474.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_22	COG0247	asrA
E7FHN9.1	RecName: Full=Sulfhydrogenase 2 subunit beta; AltName: Full=Hydrogenase-II subunit beta; Short=H-II beta; AltName: Full=Sulfhydrogenase II subunit beta; AltName: Full=Sulfur reductase subunit ShyB	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup	outgroup	outgroup	E7FHN9.1		PF17179	COG0247	K17996	E7FHN9.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG0247	hydB
Q8U2E5.1	RecName: Full=Sulfhydrogenase 1 subunit beta; AltName: Full=Sulfhydrogenase I subunit beta; AltName: Full=Sulfur reductase subunit HydB	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup	outgroup	outgroup	Q8U2E5.1		PF17179	COG1145	K17996	Q8U2E5.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG1145	hydB
aacx___DEACI_4025	Sulphite reductase, subunit A	Acididesulfobacillus acetoxydans	Curated_Ingroup	asrA	asrA	aacx___DEACI_4025		PF17179	COG1145	K16950	aacx___DEACI_4025	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Fer4_22	COG1145	asrA
aacx___DEACI_4173	4Fe-4S ferredoxin-type, iron-sulphur binding domain protein	Acididesulfobacillus acetoxydans	Curated_Outgroup	outgroup	outgroup	aacx___DEACI_4173		PF17179	COG1139	K17996	aacx___DEACI_4173	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Fer4_22	COG1139	hydB
aaj___BOQ57_13195	anaerobic sulfite reductase subunit A	Aeromonas hydrophila	Curated_Ingroup	asrA	asrA	aaj___BOQ57_13195		PF17179	COG0247	K16950	aaj___BOQ57_13195	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		Fer4_22	COG0247	asrA
aar___Acear_1682	sulfite reductase, subunit A	Acetohalobium arabaticum DSM 5501	Curated_Ingroup	asrA	asrA	aar___Acear_1682		PF17179		K16950	aar___Acear_1682	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Acetohalobium; s__		Fer4_22		asrA
acac___EYQ97_10025	asrA; anaerobic sulfite reductase subunit AsrA	Anaerostipes caccae	Curated_Ingroup	asrA	asrA	acac___EYQ97_10025		PF17179	COG1453	K16950	acac___EYQ97_10025	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		Fer4_22	COG1453	asrA
adg___Adeg_1330	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ammonifex degensii KC4	Curated_Outgroup	outgroup	outgroup	adg___Adeg_1330		PF17179	COG0247	K17996	adg___Adeg_1330	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		Fer4_22	COG0247	hydB
aeq___AEQU_0876	4Fe-4S ferredoxin iron-sulfur binding domain-containing protein	Adlercreutzia equolifaciens DSM 19450	Curated_Outgroup	outgroup	outgroup	aeq___AEQU_0876		PF17179	COG1139	K17996	aeq___AEQU_0876	d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Adlercreutzia; s__		Fer4_22	COG1139	hydB
afi___Acife_1818	(NiFe) hydrogenase, beta subunit, putative	Acidithiobacillus ferrivorans SS3	Curated_Outgroup	outgroup	outgroup	afi___Acife_1818		PF17179	COG1453	K17996	afi___Acife_1818	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Fer4_22	COG1453	hydB
afn___Acfer_1895	sulfite reductase, subunit A	Acidaminococcus fermentans DSM 20731	Curated_Ingroup	asrA	asrA	afn___Acfer_1895		PF17179	COG1139	K16950	afn___Acfer_1895	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; s__		Fer4_22	COG1139	asrA
alam___RT761_02175	asrA; Anaerobic sulfite reductase subunit A	Atribacter laminatus	Curated_Outgroup	outgroup	outgroup	alam___RT761_02175		PF17179	COG0479		alam___RT761_02175	d__Bacteria; p__Atribacterota; c__Atribacteria; o__Atribacterales; f__Atribacteraceae; g__Atribacter; s__		Fer4_22	COG0479	
alus___STSP2_01455	asrA; Anaerobic sulfite reductase iron-sulfur subunit	Anaerohalosphaera lusitana	Curated_Outgroup	outgroup	outgroup	alus___STSP2_01455		PF17179		K17996	alus___STSP2_01455	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Sedimentisphaerales; f__Anaerohalosphaeraceae; g__Anaerohalosphaera; s__		Fer4_22		hydB
amic___Ami3637_14985	asrA; anaerobic sulfite reductase subunit A	Aminipila terrae	Curated_Ingroup	asrA	asrA	amic___Ami3637_14985		PF17179	COG0247	K16950	amic___Ami3637_14985	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriales Family XIII. Incertae Sedis; g__Aminipila; s__		Fer4_22	COG0247	asrA
anr___Ana3638_22590	asrA; anaerobic sulfite reductase subunit A		Curated_Ingroup	asrA	asrA	anr___Ana3638_22590		PF17179	COG1139	K16950	anr___Ana3638_22590			Fer4_22	COG1139	asrA
atb___J4859_08945	asrA; anaerobic sulfite reductase subunit AsrA	Atopobium sp. oral taxon 416	Curated_Ingroup	asrA	asrA	atb___J4859_08945		PF17179	COG0247	K16950	atb___J4859_08945	d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium; s__		Fer4_22	COG0247	asrA
awi___CHL1_001996	asrA; anaerobic sulfite reductase subunit AsrA	Acetobacterium wieringae	Curated_Ingroup	asrA	asrA	awi___CHL1_001996		PF17179	COG1139	K16950	awi___CHL1_001996	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Acetobacterium; s__		Fer4_22	COG1139	asrA
barb___AOA66_1501	shyB; Sulfhydrogenase 2 subunit beta	Candidatus Bathyarchaeota archaeon BA2	Curated_Outgroup	outgroup	outgroup	barb___AOA66_1501		PF17179	COG0247	K17996	barb___AOA66_1501	d__Archaea; p__Candidatus Bathyarchaeota; c__; o__; f__; g__; s__		Fer4_22	COG0247	hydB
blab___EYS05_07385	asrA; anaerobic sulfite reductase subunit A	Blautia sp. SC05B48	Curated_Ingroup	asrA	asrA	blab___EYS05_07385		PF17179	COG1143	K16950	blab___EYS05_07385	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		Fer4_22	COG1143	asrA
blab___EYS05_14065	4Fe-4S ferredoxin	Blautia sp. SC05B48	Curated_Outgroup	outgroup	outgroup	blab___EYS05_14065		PF17179	COG1150	K17996	blab___EYS05_14065	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		Fer4_22	COG1150	hydB
blag___BLTE_14900	4Fe-4S ferredoxin	Blastochloris tepida	Curated_Outgroup	outgroup	outgroup	blag___BLTE_14900		PF17179	COG0247	K17996	blag___BLTE_14900	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Blastochloridaceae; g__Blastochloris; s__		Fer4_22	COG0247	hydB
bpro___PMF13cell1_01723	asrA_2; Anaerobic sulfite reductase subunit A	Blautia producta	Curated_Ingroup	asrA	asrA	bpro___PMF13cell1_01723		PF17179	COG1145	K16950	bpro___PMF13cell1_01723	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		Fer4_22	COG1145	asrA
cac___CA_C1513	asrA; anaerobic sulfite reductase Fe-S subunit	Clostridium acetobutylicum ATCC 824	Curated_Ingroup	asrA	asrA	cac___CA_C1513		PF17179	COG1139	K16950	cac___CA_C1513	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fer4_22	COG1139	asrA
cace___CACET_c04130	asrA1; anaerobic sulfite reductase subunit A	Clostridium aceticum	Curated_Ingroup	asrA	asrA	cace___CACET_c04130		PF02613;PF17179	COG3381	K16950;K23349	cace___CACET_c04130	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Nitrate_red_del;Fer4_22	COG3381	asrA;dmsD
cace___CACET_c37280	asrA2; anaerobic sulfite reductase subunit A	Clostridium aceticum	Curated_Ingroup	asrA	asrA	cace___CACET_c37280		PF17179	COG1145	K16950	cace___CACET_c37280	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fer4_22	COG1145	asrA
cah___CAETHG_0616	asrA; anaerobic sulfite reductase subunit AsrA	Clostridium autoethanogenum DSM 10061	Curated_Ingroup	asrA	asrA	cah___CAETHG_0616		PF17179	COG1453	K16950	cah___CAETHG_0616	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fer4_22	COG1453	asrA
carg___RSJ17_10745	anaerobic sulfite reductase subunit A	Clostridium argentinense	Curated_Ingroup	asrA	asrA	carg___RSJ17_10745		PF17179	COG0247	K16950	carg___RSJ17_10745	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fer4_22	COG0247	asrA
