tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DOV5.1	RecName: Full=Sulfoquinovose 1-dehydrogenase; Short=SQ dehydrogenase	Pseudomonas putida	Reviewed_Ingroup	sqdh	sqdh	P0DOV5.1		PF13561	COG1028	K22185	P0DOV5.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		adh_short_C2	COG1028	xylB
B8H1Z0.1	RecName: Full=D-xylose 1-dehydrogenase; Short=XDH	Caulobacter vibrioides NA1000	Reviewed_Outgroup			B8H1Z0.1		PF13561	COG1028	K22185	B8H1Z0.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter; s__		adh_short_C2	COG1028	xylB
Q92RN6.1	RecName: Full=Probable galactose dehydrogenase GalD	Sinorhizobium meliloti 1021	Reviewed_Outgroup			Q92RN6.1		PF13561	COG1028	K22215	Q92RN6.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		adh_short_C2	COG1028	galD
Q9X248.1	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase	Thermotoga maritima MSB8	Reviewed_Outgroup	outgroup	outgroup	Q9X248.1		PF13561	COG1028	K18335;K00059;K18009	Q9X248.1	d__Bacteria; p__Thermotogae; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__		adh_short_C2	COG1028	K18335;fabG;budC
Q5P5I4.1	RecName: Full=(S)-1-Phenylethanol dehydrogenase	Aromatoleum aromaticum EbN1	Reviewed_Outgroup	outgroup	outgroup	Q5P5I4.1		PF13561	COG1028		Q5P5I4.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Aromatoleum; s__		adh_short_C2	COG1028	
Q92EU6.1	RecName: Full=NAD-dependent glycerol dehydrogenase; AltName: Full=Dha-forming NAD-dependent glycerol dehydrogenase	Listeria innocua Clip11262	Reviewed_Outgroup	outgroup	outgroup	Q92EU6.1		PF13561	COG1028	K22251	Q92EU6.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__		adh_short_C2	COG1028	golD
2571829096		Pseudomonas putida OUS82	Reviewed_Ingroup	sqdh	sqdh	2571829096		PF13561	COG1028	K22185	2571829096	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Enoyl-(Acyl carrier protein) reductase	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	xylB; D-xylose 1-dehydrogenase [EC:1.1.1.175]
2598740880		Serratia sp. Ag2	Reviewed_Ingroup	sqdh	sqdh	2598740880		PF13561	COG1028		2598740880	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__		Enoyl-(Acyl carrier protein) reductase	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	
2530505619		Aeromonas veronii AMC34	Reviewed_Ingroup	sqdh	sqdh	2530505619		PF13561	COG1028		2530505619	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		Enoyl-(Acyl carrier protein) reductase	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	
2547799098		Edwardsiella anguillarum ET080813	Reviewed_Ingroup	sqdh	sqdh	2547799098		PF13561	COG1028		2547799098	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Hafniaceae; g__Edwardsiella; s__		Enoyl-(Acyl carrier protein) reductase	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	
