tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0A9V8.1	RecName: Full=3-sulfolactaldehyde reductase; Short=SLA reductase; AltName: Full=4-hydroxybutyrate dehydrogenase; AltName: Full=Gamma-hydroxybutyrate dehydrogenase; Short=GHBDH; AltName: Full=Succinic semialdehyde reductase; Short=SSA reductase	Escherichia coli K-12	Reviewed_Ingroup	yihU	yihU	P0A9V8.1		PF03446;PF14833	COG2084	K08318;K00020	P0A9V8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NAD_binding_2;NAD_binding_11	COG2084	yihU;HIBADH
P0A9V9.1	RecName: Full=3-sulfolactaldehyde reductase; Short=SLA reductase	Shigella flexneri	Reviewed_Ingroup	yihU	yihU	P0A9V9.1		PF03446;PF14833	COG2084	K08318;K00020	P0A9V9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		NAD_binding_2;NAD_binding_11	COG2084	yihU;HIBADH
Q9L7S0.1	RecName: Full=3-sulfolactaldehyde reductase; Short=SLA reductase	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	yihU	yihU	Q9L7S0.1		PF03446;PF14833	COG2084	K08318;K00020	Q9L7S0.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NAD_binding_2;NAD_binding_11	COG2084	yihU;HIBADH
ACR76326.1	3-hydroxyisobutyrate dehydrogenase [[Eubacterium] rectale ATCC 33656]	[Eubacterium] rectale ATCC 33656	Reviewed_Outgroup	outgroup	outgroup	ACR76326.1		PF03446;PF14833	COG2084	K00020	ACR76326.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
WP_044902466.1	NAD(P)-dependent oxidoreductase [[Clostridium] symbiosum]	[Clostridium] symbiosum	Reviewed_Outgroup	outgroup	outgroup	WP_044902466.1		PF03446;PF14833	COG2084	K00020	WP_044902466.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
P28811.1	RecName: Full=3-hydroxyisobutyrate dehydrogenase; Short=HIBADH	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	P28811.1		PF03446;PF14833	COG2084	K00020	P28811.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
P0ABQ2.1	RecName: Full=2-hydroxy-3-oxopropionate reductase; AltName: Full=Tartronate semialdehyde reductase; Short=TSAR	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P0ABQ2.1		PF03446;PF14833	COG2084	K00042;K00020	P0ABQ2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NAD_binding_2;NAD_binding_11	COG2084	garR;HIBADH
Q0QLF5.1	RecName: Full=2-(hydroxymethyl)glutarate dehydrogenase	Eubacterium barkeri	Reviewed_Outgroup	outgroup	outgroup	Q0QLF5.1		PF03446;PF14833	COG2084	K19647;K00020	Q0QLF5.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium; s__		NAD_binding_2;NAD_binding_11	COG2084	hgd;HIBADH
Q9V8M5.2	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Drosophila melanogaster	Reviewed_Outgroup	outgroup	outgroup	Q9V8M5.2		PF03446;PF14833	COG2084	K00020	Q9V8M5.2	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q54CX6.1	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Dictyostelium discoideum	Reviewed_Outgroup	outgroup	outgroup	Q54CX6.1		PF03446;PF14833	COG2084	K00020	Q54CX6.1	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
