tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90106.2	ABC transporter, membrane spanning protein (sugar) [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoH	smoH	AAK90106.2		PF00528	COG0395	K10238	AAK90106.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		BPD_transp_1	COG0395	thuG
Q7LYX6.1	RecName: Full=Trehalose/maltose transport system permease protein MalG	Thermococcus litoralis DSM 5473	Reviewed_Outgroup			Q7LYX6.1		PF00528	COG0395	K10238;K02026	Q7LYX6.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	thuG, sugB; trehalose/maltose transport system permease protein||ABC.MS.P1; multiple sugar transport system permease protein
P9WG00.1	RecName: Full=Trehalose transport system permease protein SugB	Mycobacterium tuberculosis CDC1551	Reviewed_Outgroup			P9WG00.1		PF00528	COG0395	K10238	P9WG00.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	thuG, sugB; trehalose/maltose transport system permease protein
Q53683.1	RecName: Full=Putative ABC transporter permease protein ORF1	Streptomyces antibioticus	Reviewed_Outgroup			Q53683.1		PF00528	COG0395		Q53683.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	
P40980.1	RecName: Full=Putative ABC transporter permease protein ORF2	Caldicellulosiruptor sp. Rt8B.4	Reviewed_Outgroup	outgroup	outgroup	P40980.1		PF00528	COG0395	K10119	P40980.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	msmG; raffinose/stachyose/melibiose transport system permease protein
O32154.1	RecName: Full=Probable ABC transporter permease protein YurM	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O32154.1		PF00528	COG0395	K02026;K10119	O32154.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	ABC.MS.P1; multiple sugar transport system permease protein||msmG; raffinose/stachyose/melibiose transport system permease protein
P77716.1	RecName: Full=Inner membrane ABC transporter permease protein YcjP	Escherichia coli K-12	Reviewed_Outgroup			P77716.1		PF00528	COG0395	K02026	P77716.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	ABC.MS.P1; multiple sugar transport system permease protein
P94530.2	RecName: Full=Arabinooligosaccharides transport system permease protein AraQ	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P94530.2		PF00528	COG0395	K17236;K02026	P94530.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	araQ; arabinooligosaccharide transport system permease protein||ABC.MS.P1; multiple sugar transport system permease protein
Q9KEE9.1	RecName: Full=Arabinooligosaccharides transport system permease protein AraQ	Halalkalibacterium halodurans C-125	Reviewed_Outgroup	outgroup	outgroup	Q9KEE9.1		PF00528	COG0395	K17236;K02026	Q9KEE9.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halalkalibacterium (ex Joshi et al. 2022); s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	araQ; arabinooligosaccharide transport system permease protein||ABC.MS.P1; multiple sugar transport system permease protein
O31520.1	RecName: Full=Probable ABC transporter permease protein YesQ	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O31520.1		PF00528	COG0395	K02026	O31520.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type glycerol-3-phosphate transport system, permease component	ABC.MS.P1; multiple sugar transport system permease protein
