tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P32138.3	RecName: Full=Sulfoquinovosidase; Short=SQase	Escherichia coli K-12	Reviewed_Ingroup	yihQ	yihQ	P32138.3		PF01055	COG1501	K15922	P32138.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Glyco_hydro_31	COG1501	yihQ
WP_013058333.1	MULTISPECIES: alpha-glucosidase [Priestia]	Priestia	Reviewed_Ingroup	yihQ	yihQ	WP_013058333.1		PF01055	COG1501	K15922	WP_013058333.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		Glyco_hydro_31	COG1501	yihQ
AAK90105.1	glycosidase [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	yihQ	yihQ	AAK90105.1		PF01055	COG1501	K15922	AAK90105.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Glyco_hydro_31	COG1501	yihQ
WP_052326100.1	alpha-glucosidase [Pseudomonas putida]	Pseudomonas putida	Reviewed_Ingroup	yihQ	yihQ	WP_052326100.1		PF01055	COG1501	K15922	WP_052326100.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Glyco_hydro_31	COG1501	yihQ
ABD26882.1	glycoside hydrolase, family 31 [Novosphingobium aromaticivorans DSM 12444]	Novosphingobium aromaticivorans DSM 12444	Reviewed_Ingroup	yihQ	yihQ	ABD26882.1		PF01055	COG1501	K15922	ABD26882.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__		Glyco_hydro_31	COG1501	yihQ
WP_105958946.1	alpha-glucosidase [Alkalicoccus urumqiensis]	Alkalicoccus urumqiensis	Reviewed_Ingroup	yihQ	yihQ	WP_105958946.1		PF01055	COG1501	K15922	WP_105958946.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalicoccus; s__		Glyco_hydro_31	COG1501	yihQ
EJF39095.1	glycosyl hydrolase, family 31 [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	yihQ	yihQ	EJF39095.1		PF01055	COG1501	K15922	EJF39095.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Glyco_hydro_31	COG1501	yihQ
ACR76323.1	alpha-glucosidase [[Eubacterium] rectale ATCC 33656]	[Eubacterium] rectale ATCC 33656	Reviewed_Ingroup	yihQ	yihQ	ACR76323.1		PF01055	COG1501	K15922	ACR76323.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__		Glyco_hydro_31	COG1501	yihQ
WP_021642696.1	alpha-glucosidase [[Clostridium] symbiosum]	[Clostridium] symbiosum	Reviewed_Ingroup	yihQ	yihQ	WP_021642696.1		PF01055	COG1501	K15922	WP_021642696.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__		Glyco_hydro_31	COG1501	yihQ
B3PEE6.1	RecName: Full=Oligosaccharide 4-alpha-D-glucosyltransferase; AltName: Full=Alpha-glucosidase 31B; Short=CJAgd31B; Flags: Precursor	Cellvibrio japonicus Ueda107	Reviewed_Outgroup	outgroup	outgroup	B3PEE6.1		PF16338;PF13802;PF01055;PF17137	COG1501	K18820	B3PEE6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio; s__		DUF4968;Gal_mutarotas_2;Glyco_hydro_31;DUF5110	COG1501	agd31B
