tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
O87897.1	RecName: Full=Intracellular sulfur oxidation protein DsrF	Allochromatium vinosum DSM 180	Reviewed_Ingroup	dsrF	dsrF	O87897.1		PF02635	COG2923	K07236	O87897.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DrsE	COG2923	tusC
A8GKK6.1	RecName: Full=Protein TusC; AltName: Full=tRNA 2-thiouridine synthesizing protein C	Serratia proteamaculans 568	Reviewed_Outgroup			A8GKK6.1		PF02635	COG2923	K07236	A8GKK6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__		DrsE	COG2923	tusC
B6I244.1	RecName: Full=Protein TusC; AltName: Full=tRNA 2-thiouridine synthesizing protein C	Escherichia coli SE11	Reviewed_Outgroup			B6I244.1		PF02635	COG2923	K07236	B6I244.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		DrsE	COG2923	tusC
A7FNP3.1	RecName: Full=Protein TusC; AltName: Full=tRNA 2-thiouridine synthesizing protein C	Yersinia pseudotuberculosis IP 31758	Reviewed_Outgroup			A7FNP3.1		PF02635	COG2923	K07236	A7FNP3.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		DrsE	COG2923	tusC
Q9I0N2.1	RecName: Full=Protein TusC homolog	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	Q9I0N2.1		PF02635	COG2923	K07236	Q9I0N2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		DrsE	COG2923	tusC
Q6CZW1.1	RecName: Full=Protein TusC; AltName: Full=tRNA 2-thiouridine synthesizing protein C	Pectobacterium atrosepticum SCRI1043	Reviewed_Outgroup			Q6CZW1.1		PF02635	COG2923	K07236	Q6CZW1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Pectobacterium; s__		DrsE	COG2923	tusC
B8D856.1	RecName: Full=Protein TusC; AltName: Full=tRNA 2-thiouridine synthesizing protein C	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Reviewed_Outgroup			B8D856.1		PF02635	COG2923	K07236	B8D856.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DrsE	COG2923	tusC
aaj___BOQ57_20970	sulfurtransferase TusC	Aeromonas hydrophila	Curated_Outgroup			aaj___BOQ57_20970		PF02635	COG2923	K07236	aaj___BOQ57_20970	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		DrsE	COG2923	tusC
aall___I6G90_17435	tusC; sulfurtransferase complex subunit TusC	Aeromonas allosaccharophila	Curated_Outgroup			aall___I6G90_17435		PF02635	COG2923	K07236	aall___I6G90_17435	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		DrsE	COG2923	tusC
acav___VI35_01340	tusC; sulfurtransferase complex subunit TusC	Aeromonas caviae	Curated_Outgroup			acav___VI35_01340		PF02635	COG2923	K07236	acav___VI35_01340	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		DrsE	COG2923	tusC
