tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_013058335.1	MULTISPECIES: hypothetical protein [Priestia]	Priestia	Reviewed_Ingroup	sftT	sftT	WP_013058335.1		PF00923	COG0176	K00617	WP_013058335.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		TAL_FSA	COG0176	sftT
aae___aq_119	talC; translaldolase	Aquifex aeolicus VF5	Curated_Outgroup	outgroup	outgroup	aae___aq_119		PF00923	COG0176	K00616	aae___aq_119	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		TAL_FSA	COG0176	E2.2.1.2
abf___AMK58_11780	fructose-6-phosphate aldolase	Azospirillum brasilense	Curated_Outgroup	outgroup	outgroup	abf___AMK58_11780		PF00923	COG0176	K00616	abf___AMK58_11780	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		TAL_FSA	COG0176	E2.2.1.2
acac___EYQ97_13205	fsa; fructose-6-phosphate aldolase	Anaerostipes caccae	Curated_Outgroup	outgroup	outgroup	acac___EYQ97_13205		PF00923	COG0176	K00616	acac___EYQ97_13205	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		TAL_FSA	COG0176	E2.2.1.2
acae___HYG86_10345	fsa; fructose-6-phosphate aldolase	Alkalicella caledoniensis	Curated_Outgroup	outgroup	outgroup	acae___HYG86_10345		PF00923	COG0176	K00616	acae___HYG86_10345	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Proteinivoraceae; g__Alkalicella; s__		TAL_FSA	COG0176	E2.2.1.2
acel___acsn021_00120	tal; putative transaldolase	Anaerocolumna cellulosilytica	Curated_Outgroup	outgroup	outgroup	acel___acsn021_00120		PF00923	COG0176	K00616	acel___acsn021_00120	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		TAL_FSA	COG0176	E2.2.1.2
acht___bsdcttw_00100	tal; putative transaldolase	Anaerocolumna chitinilytica	Curated_Outgroup	outgroup	outgroup	acht___bsdcttw_00100		PF00923	COG0176	K00616	acht___bsdcttw_00100	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		TAL_FSA	COG0176	E2.2.1.2
acp___A2cp1_4211	transaldolase	Anaeromyxobacter dehalogenans 2CP-1	Curated_Outgroup	outgroup	outgroup	acp___A2cp1_4211		PF00923	COG0176	K00616	acp___A2cp1_4211	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__		TAL_FSA	COG0176	E2.2.1.2
adg___Adeg_1864	transaldolase	Ammonifex degensii KC4	Curated_Outgroup	outgroup	outgroup	adg___Adeg_1864		PF00923	COG0176	K00616	adg___Adeg_1864	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		TAL_FSA	COG0176	E2.2.1.2
aex___Astex_0110	transaldolase	Asticcacaulis excentricus CB 48	Curated_Outgroup	outgroup	outgroup	aex___Astex_0110		PF00923	COG0176	K00616	aex___Astex_0110	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis; s__		TAL_FSA	COG0176	E2.2.1.2
