tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q8U2E4.1	RecName: Full=Sulfhydrogenase 1 subunit gamma; AltName: Full=Sulfhydrogenase I subunit gamma; AltName: Full=Sulfur reductase subunit HydG	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyC	shyC	Q8U2E4.1		PF00970;PF00175;PF10418	COG0543	K17995	Q8U2E4.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	hydG
E7FHW8.1	RecName: Full=Sulfhydrogenase 2 subunit gamma; AltName: Full=Hydrogenase-II subunit gamma; Short=H-II gamma; AltName: Full=Sulfhydrogenase II subunit gamma; AltName: Full=Sulfur reductase subunit ShyC	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyC	shyC	E7FHW8.1		PF00970;PF00175;PF10418	COG0543	K17995	E7FHW8.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	hydG
A0AJT9.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Listeria welshimeri serovar 6b str. SLCC5334	Reviewed_Outgroup	outgroup	outgroup	A0AJT9.1		PF00175;PF10418	COG0543	K02823	A0AJT9.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__		NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
A0RHQ7.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Bacillus thuringiensis str. Al Hakam	Reviewed_Outgroup	outgroup	outgroup	A0RHQ7.1		PF00970;PF00175;PF10418	COG0543	K02823	A0RHQ7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
A4IM34.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Geobacillus thermodenitrificans NG80-2	Reviewed_Outgroup	outgroup	outgroup	A4IM34.1		PF00970;PF00175;PF10418	COG0543	K02823	A4IM34.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
A4J559.1	RecName: Full=Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit; AltName: Full=Dihydroorotate oxidase B, electron transfer subunit	Desulforamulus reducens MI-1	Reviewed_Outgroup	outgroup	outgroup	A4J559.1		PF00970;PF00175;PF10418	COG0543	K02823	A4J559.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Desulforamulus; s__		FAD_binding_6;NAD_binding_1;DHODB_Fe-S_bind	COG0543	pyrDII
A4TPL2.1	RecName: Full=Na(+)-translocating NADH-quinone reductase subunit F; Short=Na(+)-NQR subunit F; Short=Na(+)-translocating NQR subunit F; AltName: Full=NQR complex subunit F; AltName: Full=NQR-1 subunit F	Yersinia pestis Pestoides F	Reviewed_Outgroup			A4TPL2.1		PF00111;PF00970;PF00175	COG2871	K00351	A4TPL2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		Fer2;FAD_binding_6;NAD_binding_1	COG2871	nqrF
A6V3A2.1	RecName: Full=Na(+)-translocating NADH-quinone reductase subunit F; Short=Na(+)-NQR subunit F; Short=Na(+)-translocating NQR subunit F; AltName: Full=NQR complex subunit F; AltName: Full=NQR-1 subunit F	Pseudomonas aeruginosa PA7	Reviewed_Outgroup			A6V3A2.1		PF00111;PF00970;PF00175	COG2871	K00351	A6V3A2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Fer2;FAD_binding_6;NAD_binding_1	COG2871	nqrF
A6VLY1.1	RecName: Full=Na(+)-translocating NADH-quinone reductase subunit F; Short=Na(+)-NQR subunit F; Short=Na(+)-translocating NQR subunit F; AltName: Full=NQR complex subunit F; AltName: Full=NQR-1 subunit F	Actinobacillus succinogenes 130Z	Reviewed_Outgroup			A6VLY1.1		PF00111;PF00970;PF00175	COG2871	K00351	A6VLY1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Fer2;FAD_binding_6;NAD_binding_1	COG2871	nqrF
A6ZVM6.2	RecName: Full=NADH-cytochrome b5 reductase 1; AltName: Full=Microsomal cytochrome b reductase; AltName: Full=P35	Saccharomyces cerevisiae YJM789	Reviewed_Outgroup			A6ZVM6.2		PF00970;PF00175	COG0543	K00326	A6ZVM6.2	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__		FAD_binding_6;NAD_binding_1	COG0543	CYB5R
