tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DOV9.1	RecName: Full=3-sulfolactaldehyde dehydrogenase; Short=SLA dehydrogenase	Pseudomonas putida	Reviewed_Ingroup	Pseudomonas_sladh	Pseudomonas_sladh	P0DOV9.1		PF00171	COG1012	K00135	P0DOV9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Aldedh	COG1012	gabD
Q9I6M5.1	RecName: Full=Glutarate-semialdehyde dehydrogenase	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup			Q9I6M5.1		PF00171	COG1012	K00135	Q9I6M5.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Aldedh	COG1012	gabD
P25526.1	RecName: Full=Succinate-semialdehyde dehydrogenase [NADP(+)] GabD; Short=SSDH; AltName: Full=Glutarate-semialdehyde dehydrogenase	Escherichia coli K-12	Reviewed_Outgroup			P25526.1		PF00171	COG1012	K00135	P25526.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Aldedh	COG1012	gabD
Q88RC0.1	RecName: Full=Glutarate-semialdehyde dehydrogenase	Pseudomonas putida KT2440	Reviewed_Outgroup			Q88RC0.1		PF00171	COG1012	K00135	Q88RC0.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Aldedh	COG1012	gabD
Q9SAK4.2	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; Short=At-SSADH1; AltName: Full=Aldehyde dehydrogenase family 5 member F1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; AltName: Full=Protein ENLARGED FIL EXPRESSING DOMAIN 1; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup			Q9SAK4.2		PF00171	COG1012	K17761;K00139;K00135	Q9SAK4.2	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Aldedh	COG1012	SSADH;ALDH5A1;gabD
Q8BWF0.1	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; AltName: Full=Aldehyde dehydrogenase family 5 member A1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; Flags: Precursor	Mus musculus	Reviewed_Outgroup			Q8BWF0.1		PF00171	COG1012	K00139;K00135	Q8BWF0.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		Aldedh	COG1012	ALDH5A1;gabD
B9F3B6.1	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; AltName: Full=Aldehyde dehydrogenase family 5 member F1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; Flags: Precursor	Oryza sativa Japonica Group	Reviewed_Outgroup			B9F3B6.1		PF00171	COG1012	K17761;K00135	B9F3B6.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Oryza; s__		Aldedh	COG1012	SSADH;gabD
P55653.1	RecName: Full=Probable succinate-semialdehyde dehydrogenase [NADP(+)]; Short=SSDH	Sinorhizobium fredii NGR234	Reviewed_Outgroup			P55653.1		PF00171	COG1012	K00135	P55653.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Aldedh	COG1012	gabD
Q6A2H2.2	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; AltName: Full=Aldehyde dehydrogenase family 5 member A1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; Flags: Precursor	Pongo pygmaeus	Reviewed_Outgroup			Q6A2H2.2		PF00171	COG1012	K00139;K00135	Q6A2H2.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Pongo; s__		Aldedh	COG1012	ALDH5A1;gabD
P94428.1	RecName: Full=Succinate-semialdehyde dehydrogenase [NADP(+)]; Short=SSDH	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			P94428.1		PF00171	COG1012	K00135	P94428.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldedh	COG1012	gabD
