tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EAQ26624.1	flavin-containing monooxygenase [Roseovarius sp. 217]	Roseovarius sp. 217	Reviewed_Ingroup	tmm	tmm	EAQ26624.1		PF00743;PF00743	COG2072	K18277	EAQ26624.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		FMO-like;FMO-like	COG2072	tmm
AAV94838.1	Trimethylamine (TMA) monooxygenase [Ruegeria pomeroyi DSS-3]	Ruegeria pomeroyi DSS-3	Reviewed_Ingroup	tmm	tmm	AAV94838.1		PF00743;PF00743	COG2072	K18277	AAV94838.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		FMO-like;FMO-like	COG2072	tmm
WP_007144064.1	NAD(P)/FAD-dependent oxidoreductase [Methylophaga aminisulfidivorans]	Methylophaga aminisulfidivorans	Reviewed_Ingroup	tmm	tmm	WP_007144064.1		PF00743;PF00743	COG2072	K18277	WP_007144064.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__		FMO-like;FMO-like	COG2072	tmm
ACK52489.1	Flavin-containing monooxygenase [Methylocella silvestris BL2]	Methylocella silvestris BL2	Reviewed_Ingroup	tmm	tmm	ACK52489.1		PF00743;PF00743	COG2072	K18277	ACK52489.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Beijerinckiaceae; g__Methylocella; s__		FMO-like;FMO-like	COG2072	tmm
EAS85405.1	putative flavin-containing monooxygenase [Candidatus Pelagibacter ubique HTCC1002]	Candidatus Pelagibacter ubique HTCC1002	Reviewed_Ingroup	tmm	tmm	EAS85405.1		PF00743;PF00743	COG2072	K18277	EAS85405.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter; s__		FMO-like;FMO-like	COG2072	tmm
EDZ59919.1	flavin-containing monooxygenase FMO [Candidatus Pelagibacter sp. HTCC7211]	Candidatus Pelagibacter sp. HTCC7211	Reviewed_Ingroup	tmm	tmm	EDZ59919.1		PF00743;PF00743	COG2072	K18277	EDZ59919.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter; s__		FMO-like;FMO-like	COG2072	tmm
AAA52457.1	flavin-containing monooxygenase [Homo sapiens]	Homo sapiens	Reviewed_Outgroup			AAA52457.1		PF00743	COG2072	K00485	AAA52457.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		FMO-like	COG2072	FMO
P32417.3	RecName: Full=Dimethylaniline monooxygenase [N-oxide-forming] 3; AltName: Full=Dimethylaniline oxidase 3; AltName: Full=FMO 1D1; AltName: Full=FMO II; AltName: Full=FMO form 2; AltName: Full=Hepatic flavin-containing monooxygenase 3; Short=FMO 3; AltName: Full=Trimethylamine monooxygenase	Oryctolagus cuniculus	Reviewed_Outgroup			P32417.3		PF00743	COG2072	K00485	P32417.3	d__Eukaryota; p__Chordata; c__Mammalia; o__Lagomorpha; f__Leporidae; g__Oryctolagus; s__		FMO-like	COG2072	FMO
P31512.3	RecName: Full=Dimethylaniline monooxygenase [N-oxide-forming] 4; AltName: Full=Dimethylaniline oxidase 4; AltName: Full=Hepatic flavin-containing monooxygenase 4; Short=FMO 4	Homo sapiens	Reviewed_Outgroup			P31512.3		PF00743	COG2072	K00485	P31512.3	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		FMO-like	COG2072	FMO
Q99518.5	RecName: Full=Flavin-containing monooxygenase 2; AltName: Full=Dimethylaniline oxidase 2; AltName: Full=FMO 1B1; AltName: Full=Pulmonary flavin-containing monooxygenase 2; Short=FMO 2	Homo sapiens	Reviewed_Outgroup			Q99518.5		PF00743	COG2072	K00485	Q99518.5	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		FMO-like	COG2072	FMO
AAA67849.1	flavin-containing monooxygenase 5 [Homo sapiens]	Homo sapiens	Reviewed_Outgroup			AAA67849.1		PF00743	COG2072	K00485	AAA67849.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		FMO-like	COG2072	FMO
AAQ62539.1	flavin-containing monooxygenase [Saccharomyces cerevisiae]	Saccharomyces cerevisiae	Reviewed_Outgroup			AAQ62539.1		PF00743;PF00743	COG2072		AAQ62539.1	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__		FMO-like;FMO-like	COG2072	
Q9HFE4.1	RecName: Full=Thiol-specific monooxygenase; AltName: Full=Flavin-dependent monooxygenase	Schizosaccharomyces pombe 972h-	Reviewed_Outgroup			Q9HFE4.1		PF13450;PF00743;PF00743	COG2072		Q9HFE4.1	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__		NAD_binding_8;FMO-like;FMO-like	COG2072	
NP_194980.1	Flavin-binding monooxygenase family protein [Arabidopsis thaliana]	Arabidopsis thaliana	Reviewed_Outgroup			NP_194980.1		PF00743	COG2072	K11816	NP_194980.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		FMO-like	COG2072	YUCCA
NP_171955.1	YUCCA 3 [Arabidopsis thaliana]	Arabidopsis thaliana	Reviewed_Outgroup			NP_171955.1		PF00743	COG2072	K11816	NP_171955.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		FMO-like	COG2072	YUCCA
NP_193062.1	Flavin-binding monooxygenase family protein [Arabidopsis thaliana]	Arabidopsis thaliana	Reviewed_Outgroup			NP_193062.1		PF00743	COG2072	K11816	NP_193062.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		FMO-like	COG2072	YUCCA
CAD10798.1	cyclopentanone 1,2-monooxygenase [Comamonas testosteroni]	Comamonas testosteroni	Reviewed_Outgroup	outgroup	outgroup	CAD10798.1		PF00743	COG2072		CAD10798.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__		FMO-like	COG2072	
Q47PU3.1	RecName: Full=Phenylacetone monooxygenase; Short=PAMO; AltName: Full=Baeyer-Villiger monooxygenase; Short=BVMO	Thermobifida fusca YX	Reviewed_Outgroup	outgroup	outgroup	Q47PU3.1		PF13738	COG2072	K03379	Q47PU3.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptosporangiales; f__Nocardiopsaceae; g__Thermobifida; s__		Pyr_redox_3	COG2072	chnB
